ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"1 Peter 1:1",,,,,,,,
2,"1 Peter 1:2",,,,,,,,
3,"1 Peter 1:3",,,,,,,,
4,"1 Peter 1:4",,,,,,,,
5,"1 Peter 1:5",,,,,,,,
6,"1 Peter 1:6",,,,,,,,
7,"1 Peter 1:7",,,,,,,,
8,"1 Peter 1:8",,,,,,,,
9,"1 Peter 1:9",,,,,,,,
10,"1 Peter 1:10",,,,,,,,
11,"1 Peter 1:11",,,,,,,,
12,"1 Peter 1:12",,,,,,,,
13,"1 Peter 1:13",,,,,,,,
14,"1 Peter 1:14",,,,,,,,
15,"1 Peter 1:15",,,,,,,,
16,"1 Peter 1:16",,,,,,,,
17,"1 Peter 1:17",,,,,,,,
18,"1 Peter 1:18",,,,,,,,
19,"1 Peter 1:19",,,,,,,,
20,"1 Peter 1:20",,,,,,,,
21,"1 Peter 1:21",,,,,,,,
22,"1 Peter 1:22",,,,,,,,
23,"1 Peter 1:23",,,,,,,,
24,"1 Peter 1:24",,,,,,,,
25,"1 Peter 1:25",,,,,,,,
26,"1 Peter 2:1",,,,,,,,
27,"1 Peter 2:2",,,,,,,,
28,"1 Peter 2:3",,,,,,,,
29,"1 Peter 2:4",,,,,,,,
30,"1 Peter 2:5",,,,,,,,
31,"1 Peter 2:6",,,,,,,,
32,"1 Peter 2:7",,,,,,,,
33,"1 Peter 2:8",,,,,,,,
34,"1 Peter 2:9",,,,,,,,
35,"1 Peter 2:10",,,,,,,,
36,"1 Peter 2:11",,,,,,,,
37,"1 Peter 2:12",,,,,,,,
38,"1 Peter 2:13",,,,,,,,
39,"1 Peter 2:14",,,,,,,,
40,"1 Peter 2:15",,,,,,,,
41,"1 Peter 2:16",,,,,,,,
42,"1 Peter 2:17",,,,,,,,
43,"1 Peter 2:18",,,,,,,,
44,"1 Peter 2:19",,,,,,,,
45,"1 Peter 2:20",,,,,,,,
46,"1 Peter 2:21",,,,,,,,
47,"1 Peter 2:22",,,,,,,,
48,"1 Peter 2:23",,,,,,,,
49,"1 Peter 2:24",,,,,,,,
50,"1 Peter 2:25",,,,,,,,
51,"1 Peter 3:1",,,,,,,,
52,"1 Peter 3:2",,,,,,,,
53,"1 Peter 3:3",,,,,,,,
54,"1 Peter 3:4",,,,,,,,
55,"1 Peter 3:5",,,,,,,,
56,"1 Peter 3:6",,,,,,,,
57,"1 Peter 3:7",,,,,,,,
58,"1 Peter 3:8",,,,,,,,
59,"1 Peter 3:9",,,,,,,,
60,"1 Peter 3:10",,,,,,,,
61,"1 Peter 3:11",,,,,,,,
62,"1 Peter 3:12",,,,,,,,
63,"1 Peter 3:13",,,,,,,,
64,"1 Peter 3:14",,,,,,,,
65,"1 Peter 3:15",,,,,,,,
66,"1 Peter 3:16",,,,,,,,
67,"1 Peter 3:17",,,,,,,,
68,"1 Peter 3:18",,,,,,,,
69,"1 Peter 3:19",,,,,,,,
70,"1 Peter 3:20",,,,,,,,
71,"1 Peter 3:21",,,,,,,,
72,"1 Peter 3:22",,,,,,,,
73,"1 Peter 4:1",,,,,,,,
74,"1 Peter 4:2",,,,,,,,
75,"1 Peter 4:3",,,,,,,,
76,"1 Peter 4:4",,,,,,,,
77,"1 Peter 4:5",,,,,,,,
78,"1 Peter 4:6",,,,,,,,
79,"1 Peter 4:7",,,,,,,,
80,"1 Peter 4:8",,,,,,,,
81,"1 Peter 4:9",,,,,,,,
82,"1 Peter 4:10",,,,,,,,
83,"1 Peter 4:11",,,,,,,,
84,"1 Peter 4:12",,,,,,,,
85,"1 Peter 4:13",,,,,,,,
86,"1 Peter 4:14",,,,,,,,
87,"1 Peter 4:15",,,,,,,,
88,"1 Peter 4:16",,,,,,,,
89,"1 Peter 4:17",,,,,,,,
90,"1 Peter 4:18",,,,,,,,
91,"1 Peter 4:19",,,,,,,,
92,"1 Peter 5:1",,,,,,,,
93,"1 Peter 5:2",,,,,,,,
94,"1 Peter 5:3",,,,,,,,
95,"1 Peter 5:4",,,,,,,,
96,"1 Peter 5:5",,,,,,,,
97,"1 Peter 5:6",,,,,,,,
98,"1 Peter 5:7",,,,,,,,
99,"1 Peter 5:8",,,,,,,,
100,"1 Peter 5:9",,,,,,,,
101,"1 Peter 5:10",,,,,,,,
102,"1 Peter 5:11",,,,,,,,
103,"1 Peter 5:12",,,,,,,,
104,"1 Peter 5:13",,,,,,,,
105,"1 Peter 5:14",,,,,,,,
