ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"2 Chronicles 1:1",,,,,,,,
2,"2 Chronicles 1:2",,,,,,,,
3,"2 Chronicles 1:3",,,,,,,,
4,"2 Chronicles 1:4",,,,,,,,
5,"2 Chronicles 1:5",,,,,,,,
6,"2 Chronicles 1:6",,,,,,,,
7,"2 Chronicles 1:7",,,,,,,,
8,"2 Chronicles 1:8",,,,,,,,
9,"2 Chronicles 1:9",,,,,,,,
10,"2 Chronicles 1:10",,,,,,,,
11,"2 Chronicles 1:11",,,,,,,,
12,"2 Chronicles 1:12",,,,,,,,
13,"2 Chronicles 1:13",,,,,,,,
14,"2 Chronicles 1:14",,,,,,,,
15,"2 Chronicles 1:15",,,,,,,,
16,"2 Chronicles 1:16",,,,,,,,
17,"2 Chronicles 1:17",,,,,,,,
18,"2 Chronicles 2:1",,,,,,,,
19,"2 Chronicles 2:2",,,,,,,,
20,"2 Chronicles 2:3",,,,,,,,
21,"2 Chronicles 2:4",,,,,,,,
22,"2 Chronicles 2:5",,,,,,,,
23,"2 Chronicles 2:6",,,,,,,,
24,"2 Chronicles 2:7",,,,,,,,
25,"2 Chronicles 2:8",,,,,,,,
26,"2 Chronicles 2:9",,,,,,,,
27,"2 Chronicles 2:10",,,,,,,,
28,"2 Chronicles 2:11",,,,,,,,
29,"2 Chronicles 2:12",,,,,,,,
30,"2 Chronicles 2:13",,,,,,,,
31,"2 Chronicles 2:14",,,,,,,,
32,"2 Chronicles 2:15",,,,,,,,
33,"2 Chronicles 2:16",,,,,,,,
34,"2 Chronicles 2:17",,,,,,,,
35,"2 Chronicles 2:18",,,,,,,,
36,"2 Chronicles 3:1",,,,,,,,
37,"2 Chronicles 3:2",,,,,,,,
38,"2 Chronicles 3:3",,,,,,,,
39,"2 Chronicles 3:4",,,,,,,,
40,"2 Chronicles 3:5",,,,,,,,
41,"2 Chronicles 3:6",,,,,,,,
42,"2 Chronicles 3:7",,,,,,,,
43,"2 Chronicles 3:8",,,,,,,,
