ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"2 Corinthians 1:1",,,,,,,,
2,"2 Corinthians 1:2",,,,,,,,
3,"2 Corinthians 1:3",,,,,,,,
4,"2 Corinthians 1:4",,,,,,,,
5,"2 Corinthians 1:5",,,,,,,,
6,"2 Corinthians 1:6",,,,,,,,
7,"2 Corinthians 1:7",,,,,,,,
8,"2 Corinthians 1:8",,,,,,,,
9,"2 Corinthians 1:9",,,,,,,,
10,"2 Corinthians 1:10",,,,,,,,
11,"2 Corinthians 1:11",,,,,,,,
12,"2 Corinthians 1:12",,,,,,,,
13,"2 Corinthians 1:13",,,,,,,,
14,"2 Corinthians 1:14",,,,,,,,
15,"2 Corinthians 1:15",,,,,,,,
16,"2 Corinthians 1:16",,,,,,,,
17,"2 Corinthians 1:17",,,,,,,,
18,"2 Corinthians 1:18",,,,,,,,
19,"2 Corinthians 1:19",,,,,,,,
20,"2 Corinthians 1:20",,,,,,,,
21,"2 Corinthians 1:21",,,,,,,,
22,"2 Corinthians 1:22",,,,,,,,
23,"2 Corinthians 1:23",,,,,,,,
24,"2 Corinthians 1:24",,,,,,,,
25,"2 Corinthians 2:1",,,,,,,,
26,"2 Corinthians 2:2",,,,,,,,
27,"2 Corinthians 2:3",,,,,,,,
28,"2 Corinthians 2:4",,,,,,,,
29,"2 Corinthians 2:5",,,,,,,,
30,"2 Corinthians 2:6",,,,,,,,
31,"2 Corinthians 2:7",,,,,,,,
32,"2 Corinthians 2:8",,,,,,,,
33,"2 Corinthians 2:9",,,,,,,,
34,"2 Corinthians 2:10",,,,,,,,
35,"2 Corinthians 2:11",,,,,,,,
36,"2 Corinthians 2:12",,,,,,,,
37,"2 Corinthians 2:13",,,,,,,,
38,"2 Corinthians 2:14",,,,,,,,
39,"2 Corinthians 2:15",,,,,,,,
40,"2 Corinthians 2:16",,,,,,,,
41,"2 Corinthians 2:17",,,,,,,,
42,"2 Corinthians 3:1",,,,,,,,
43,"2 Corinthians 3:2",,,,,,,,
44,"2 Corinthians 3:3",,,,,,,,
45,"2 Corinthians 3:4",,,,,,,,
46,"2 Corinthians 3:5",,,,,,,,
47,"2 Corinthians 3:6",,,,,,,,
48,"2 Corinthians 3:7",,,,,,,,
49,"2 Corinthians 3:8",,,,,,,,
50,"2 Corinthians 3:9",,,,,,,,
51,"2 Corinthians 3:10",,,,,,,,
52,"2 Corinthians 3:11",,,,,,,,
53,"2 Corinthians 3:12",,,,,,,,
54,"2 Corinthians 3:13",,,,,,,,
55,"2 Corinthians 3:14",,,,,,,,
56,"2 Corinthians 3:15",,,,,,,,
57,"2 Corinthians 3:16",,,,,,,,
58,"2 Corinthians 3:17",,,,,,,,
59,"2 Corinthians 3:18",,,,,,,,
60,"2 Corinthians 4:1",,,,,,,,
61,"2 Corinthians 4:2",,,,,,,,
62,"2 Corinthians 4:3",,,,,,,,
63,"2 Corinthians 4:4",,,,,,,,
64,"2 Corinthians 4:5",,,,,,,,
65,"2 Corinthians 4:6",,,,,,,,
66,"2 Corinthians 4:7",,,,,,,,
67,"2 Corinthians 4:8",,,,,,,,
68,"2 Corinthians 4:9",,,,,,,,
69,"2 Corinthians 4:10",,,,,,,,
70,"2 Corinthians 4:11",,,,,,,,
71,"2 Corinthians 4:12",,,,,,,,
72,"2 Corinthians 4:13",,,,,,,,
73,"2 Corinthians 4:14",,,,,,,,
74,"2 Corinthians 4:15",,,,,,,,
75,"2 Corinthians 4:16",,,,,,,,
76,"2 Corinthians 4:17",,,,,,,,
77,"2 Corinthians 4:18",,,,,,,,
78,"2 Corinthians 5:1",,,,,,,,
79,"2 Corinthians 5:2",,,,,,,,
80,"2 Corinthians 5:3",,,,,,,,
81,"2 Corinthians 5:4",,,,,,,,
82,"2 Corinthians 5:5",,,,,,,,
83,"2 Corinthians 5:6",,,,,,,,
84,"2 Corinthians 5:7",,,,,,,,
85,"2 Corinthians 5:8",,,,,,,,
86,"2 Corinthians 5:9",,,,,,,,
87,"2 Corinthians 5:10",,,,,,,,
88,"2 Corinthians 5:11",,,,,,,,
89,"2 Corinthians 5:12",,,,,,,,
90,"2 Corinthians 5:13",,,,,,,,
91,"2 Corinthians 5:14",,,,,,,,
92,"2 Corinthians 5:15",,,,,,,,
93,"2 Corinthians 5:16",,,,,,,,
94,"2 Corinthians 5:17",,,,,,,,
95,"2 Corinthians 5:18",,,,,,,,
96,"2 Corinthians 5:19",,,,,,,,
97,"2 Corinthians 5:20",,,,,,,,
98,"2 Corinthians 5:21",,,,,,,,
99,"2 Corinthians 6:1",,,,,,,,
100,"2 Corinthians 6:2",,,,,,,,
101,"2 Corinthians 6:3",,,,,,,,
102,"2 Corinthians 6:4",,,,,,,,
103,"2 Corinthians 6:5",,,,,,,,
104,"2 Corinthians 6:6",,,,,,,,
105,"2 Corinthians 6:7",,,,,,,,
106,"2 Corinthians 6:8",,,,,,,,
107,"2 Corinthians 6:9",,,,,,,,
108,"2 Corinthians 6:10",,,,,,,,
109,"2 Corinthians 6:11",,,,,,,,
110,"2 Corinthians 6:12",,,,,,,,
111,"2 Corinthians 6:13",,,,,,,,
