ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"2 Kings 1:1","Which thing is easier [to say]? Your(man's) sins are forgiven by God. Or You(man) (imp) stand-up! And you(man) walk!","~\wd ~\tg c-ICp00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1C1SQAnK3NN........~\lu thing~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1DPUINAN...........~\lu be~\wd ~\tg ~\lu )~\wd ~\tg j-SP.....~\lu (~\wd ~\tg A-1BC.....~\lu easy~\wd ~\tg c-pDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A5SIAnK3NN........~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1BPUINAN...........~\lu say~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg N-1C1SDAnK3NN........~\lu thing~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IDP00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg r-1A.....~\lu -QuoteBegin1~\wd ~\tg n-SAA.N........~\lu (~\wd ~\tg N-1A2SDAnK3NN........~\lu God~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1BPUINAN...........~\lu forgive~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg N-1A3PFAnK3NN........~\lu sin~\wd ~\tg n-SNN.N........~\lu (~\wd ~\tg P-1A.....~\lu -Generic Genitive~\wd ~\tg N-1A4SDAnK2NN........~\lu man~\wd ~\tg ~\lu )~\wd ~\tg ~\lu )~\wd ~\tg r-1A.....~\lu -QuoteEnd1~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IIp00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg C-1A.....~\lu or~\wd ~\tg r-1A.....~\lu -QuoteBegin1~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A4SDAnK2NN........~\lu man~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1AEUINAN...........~\lu stand-up~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IIp00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg C-1A.....~\lu and~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A4SDAnK2NN........~\lu man~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1APUINAN...........~\lu walk~\wd ~\tg ~\lu )~\wd ~\tg r-1A.....~\lu exclamation~\wd ~\tg r-1A.....~\lu -QuoteEnd1~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IDp00NNNNNNNNNSNNN.............~\lu {~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A6PGAnK3NN........~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1DPUINNN...........~\lu be~\wd ~\tg ~\lu )~\wd ~\tg j-SP.....~\lu (~\wd ~\tg A-1AN.....~\lu able~\wd ~\tg c-pDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A6PGAnK3NN........~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1BPUINAN...........~\lu see~\wd ~\tg ~\lu )~\wd ~\tg c-PDP00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg n-SAA.N........~\lu (~\wd ~\tg N-1A1SDAnK3NN........~\lu God~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1BPUINAN...........~\lu forgive~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg N-1A1PGAnK3NN........~\lu sin~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IDp00NNNNNNNNNSNNN.............~\lu {~\wd ~\tg C-1A.....~\lu but~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg j-SA.....~\lu (~\wd ~\tg A-1AN.....~\lu all~\wd ~\tg ~\lu )~\wd ~\tg N-1A7PGAnK3NN........~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1DPUINAN...........~\lu be~\wd ~\tg ~\lu )~\wd ~\tg j-SP.....~\lu (~\wd ~\tg A-1AN.....~\lu able~\wd ~\tg c-pDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A7PGAnK3NN........~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1BPUINAN...........~\lu see~\wd ~\tg ~\lu )~\wd ~\tg c-PDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A4SDANK3NN........~\lu man~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1APUINAN...........~\lu walk~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IDp00NNNNNNNNNSNNN.............~\lu {~\wd ~\tg C-1A.....~\lu therefore~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1VPUINAN...........~\lu be~\wd ~\tg ~\lu )~\wd ~\tg j-SP.....~\lu (~\wd ~\tg A-1BI.....~\lu hard~\wd ~\tg ~\lu )~\wd ~\tg c-ADp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A8SDAnK1NN........~\lu Jesus~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1APUINAN...........~\lu say~\wd ~\tg ~\lu )~\wd ~\tg n-SdN.N........~\lu (~\wd ~\tg N-1A4SDANK3NN........~\lu man~\wd ~\tg ~\lu )~\wd ~\tg c-PIp00NNNNNNNFNNNNN.............~\lu [~\wd ~\tg r-1A.....~\lu -QuoteBegin1~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A4SDAnK2NN........~\lu man~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1AEUINAN...........~\lu stand-up~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg c-PIp00NNNNNNNLNNNNN.............~\lu [~\wd ~\tg C-1A.....~\lu and~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A4SDAnK2NN........~\lu man~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1AEUINAN...........~\lu walk~\wd ~\tg ~\lu )~\wd ~\tg r-1A.....~\lu -QuoteEnd1~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu ]~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~|Cthing|AGod|Asin|Aman|Aperson|Aperson|Aperson|AJesus||||||||||||||||||||||||||||",,,,"^",,
3,"2 Kings 1:3",,,,,,,,
4,"2 Kings 1:4",,,,,,,,
5,"2 Kings 1:5",,,,,,,,
6,"2 Kings 1:6",,,,,,,,
7,"2 Kings 1:7",,,,,,,,
8,"2 Kings 1:8",,,,,,,,
9,"2 Kings 1:9",,,,,,,,
10,"2 Kings 1:10",,,,,,,,
11,"2 Kings 1:11",,,,,,,,
12,"2 Kings 1:12",,,,,,,,
13,"2 Kings 1:13",,,,,,,,
14,"2 Kings 1:14",,,,,,,,
15,"2 Kings 1:15",,,,,,,,
16,"2 Kings 1:16",,,,,,,,
17,"2 Kings 1:17",,,,,,,,
18,"2 Kings 1:18",,,,,,,,
19,"2 Kings 2:1",,,,,,,,
20,"2 Kings 2:2",,,,,,,,
21,"2 Kings 2:3",,,,,,,,
22,"2 Kings 2:4",,,,,,,,
23,"2 Kings 2:5",,,,,,,,
24,"2 Kings 2:6",,,,,,,,
25,"2 Kings 2:7",,,,,,,,
26,"2 Kings 2:8",,,,,,,,
27,"2 Kings 2:9",,,,,,,,
28,"2 Kings 2:10",,,,,,,,
29,"2 Kings 2:11",,,,,,,,
30,"2 Kings 2:12",,,,,,,,
31,"2 Kings 2:13",,,,,,,,
32,"2 Kings 2:14",,,,,,,,
33,"2 Kings 2:15",,,,,,,,
34,"2 Kings 2:16",,,,,,,,
35,"2 Kings 2:17",,,,,,,,
36,"2 Kings 2:18",,,,,,,,
37,"2 Kings 2:19",,,,,,,,
38,"2 Kings 2:20",,,,,,,,
39,"2 Kings 2:21",,,,,,,,
40,"2 Kings 2:22",,,,,,,,
41,"2 Kings 2:23",,,,,,,,
42,"2 Kings 2:24",,,,,,,,
43,"2 Kings 2:25",,,,,,,,
44,"2 Kings 3:1",,,,,,,,
45,"2 Kings 3:2",,,,,,,,
46,"2 Kings 3:3",,,,,,,,
47,"2 Kings 3:4",,,,,,,,
48,"2 Kings 3:5",,,,,,,,
49,"2 Kings 3:6",,,,,,,,
50,"2 Kings 3:7",,,,,,,,
51,"2 Kings 3:8",,,,,,,,
