ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"2 Timothy 1:1",,,,,,,,
2,"2 Timothy 1:2",,,,,,,,
3,"2 Timothy 1:3",,,,,,,,
4,"2 Timothy 1:4",,,,,,,,
5,"2 Timothy 1:5",,,,,,,,
6,"2 Timothy 1:6",,,,,,,,
7,"2 Timothy 1:7",,,,,,,,
8,"2 Timothy 1:8",,,,,,,,
9,"2 Timothy 1:9",,,,,,,,
10,"2 Timothy 1:10",,,,,,,,
11,"2 Timothy 1:11",,,,,,,,
12,"2 Timothy 1:12",,,,,,,,
13,"2 Timothy 1:13",,,,,,,,
14,"2 Timothy 1:14",,,,,,,,
15,"2 Timothy 1:15",,,,,,,,
16,"2 Timothy 1:16",,,,,,,,
17,"2 Timothy 1:17",,,,,,,,
18,"2 Timothy 1:18",,,,,,,,
19,"2 Timothy 2:1",,,,,,,,
20,"2 Timothy 2:2",,,,,,,,
21,"2 Timothy 2:3",,,,,,,,
22,"2 Timothy 2:4",,,,,,,,
23,"2 Timothy 2:5",,,,,,,,
24,"2 Timothy 2:6",,,,,,,,
25,"2 Timothy 2:7",,,,,,,,
26,"2 Timothy 2:8",,,,,,,,
27,"2 Timothy 2:9",,,,,,,,
28,"2 Timothy 2:10",,,,,,,,
29,"2 Timothy 2:11",,,,,,,,
30,"2 Timothy 2:12",,,,,,,,
31,"2 Timothy 2:13",,,,,,,,
32,"2 Timothy 2:14",,,,,,,,
33,"2 Timothy 2:15",,,,,,,,
34,"2 Timothy 2:16",,,,,,,,
35,"2 Timothy 2:17",,,,,,,,
36,"2 Timothy 2:18",,,,,,,,
37,"2 Timothy 2:19",,,,,,,,
38,"2 Timothy 2:20",,,,,,,,
39,"2 Timothy 2:21",,,,,,,,
40,"2 Timothy 2:22",,,,,,,,
41,"2 Timothy 2:23",,,,,,,,
42,"2 Timothy 2:24",,,,,,,,
43,"2 Timothy 2:25",,,,,,,,
44,"2 Timothy 2:26",,,,,,,,
45,"2 Timothy 3:1",,,,,,,,
46,"2 Timothy 3:2",,,,,,,,
47,"2 Timothy 3:3",,,,,,,,
48,"2 Timothy 3:4",,,,,,,,
49,"2 Timothy 3:5",,,,,,,,
50,"2 Timothy 3:6",,,,,,,,
51,"2 Timothy 3:7",,,,,,,,
52,"2 Timothy 3:8",,,,,,,,
53,"2 Timothy 3:9",,,,,,,,
54,"2 Timothy 3:10",,,,,,,,
55,"2 Timothy 3:11",,,,,,,,
56,"2 Timothy 3:12",,,,,,,,
57,"2 Timothy 3:13",,,,,,,,
58,"2 Timothy 3:14",,,,,,,,
59,"2 Timothy 3:15",,,,,,,,
60,"2 Timothy 3:16",,,,,,,,
61,"2 Timothy 3:17",,,,,,,,
62,"2 Timothy 4:1",,,,,,,,
63,"2 Timothy 4:2",,,,,,,,
64,"2 Timothy 4:3",,,,,,,,
65,"2 Timothy 4:4",,,,,,,,
66,"2 Timothy 4:5",,,,,,,,
67,"2 Timothy 4:6",,,,,,,,
68,"2 Timothy 4:7",,,,,,,,
69,"2 Timothy 4:8",,,,,,,,
70,"2 Timothy 4:9",,,,,,,,
71,"2 Timothy 4:10",,,,,,,,
72,"2 Timothy 4:11",,,,,,,,
73,"2 Timothy 4:12",,,,,,,,
74,"2 Timothy 4:13",,,,,,,,
75,"2 Timothy 4:14",,,,,,,,
76,"2 Timothy 4:15",,,,,,,,
77,"2 Timothy 4:16",,,,,,,,
78,"2 Timothy 4:17",,,,,,,,
79,"2 Timothy 4:18",,,,,,,,
80,"2 Timothy 4:19",,,,,,,,
81,"2 Timothy 4:20",,,,,,,,
82,"2 Timothy 4:21",,,,,,,,
83,"2 Timothy 4:22",,,,,,,,
