ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Amos 1:1",,,,,,,,
2,"Amos 1:2",,,,,,,,
3,"Amos 1:3",,,,,,,,
4,"Amos 1:4",,,,,,,,
5,"Amos 1:5",,,,,,,,
6,"Amos 1:6",,,,,,,,
7,"Amos 1:7",,,,,,,,
8,"Amos 1:8",,,,,,,,
9,"Amos 1:9",,,,,,,,
10,"Amos 1:10",,,,,,,,
11,"Amos 1:11",,,,,,,,
12,"Amos 1:12",,,,,,,,
13,"Amos 1:13",,,,,,,,
14,"Amos 1:14",,,,,,,,
15,"Amos 1:15",,,,,,,,
16,"Amos 2:1",,,,,,,,
17,"Amos 2:2",,,,,,,,
18,"Amos 2:3",,,,,,,,
19,"Amos 2:4",,,,,,,,
20,"Amos 2:5",,,,,,,,
21,"Amos 2:6",,,,,,,,
22,"Amos 2:7",,,,,,,,
23,"Amos 2:8",,,,,,,,
24,"Amos 2:9",,,,,,,,
25,"Amos 2:10",,,,,,,,
26,"Amos 2:11",,,,,,,,
27,"Amos 2:12",,,,,,,,
28,"Amos 2:13",,,,,,,,
29,"Amos 2:14",,,,,,,,
30,"Amos 2:15",,,,,,,,
31,"Amos 2:16",,,,,,,,
32,"Amos 3:1",,,,,,,,
33,"Amos 3:2",,,,,,,,
34,"Amos 3:3",,,,,,,,
35,"Amos 3:4",,,,,,,,
36,"Amos 3:5",,,,,,,,
37,"Amos 3:6",,,,,,,,
38,"Amos 3:7",,,,,,,,
39,"Amos 3:8",,,,,,,,
40,"Amos 3:9",,,,,,,,
41,"Amos 3:10",,,,,,,,
42,"Amos 3:11",,,,,,,,
43,"Amos 3:12",,,,,,,,
44,"Amos 3:13",,,,,,,,
45,"Amos 3:14",,,,,,,,
46,"Amos 3:15",,,,,,,,
47,"Amos 4:1",,,,,,,,
48,"Amos 4:2",,,,,,,,
49,"Amos 4:3",,,,,,,,
50,"Amos 4:4",,,,,,,,
51,"Amos 4:5",,,,,,,,
52,"Amos 4:6",,,,,,,,
53,"Amos 4:7",,,,,,,,
54,"Amos 4:8",,,,,,,,
55,"Amos 4:9",,,,,,,,
56,"Amos 4:10",,,,,,,,
57,"Amos 4:11",,,,,,,,
58,"Amos 4:12",,,,,,,,
59,"Amos 4:13",,,,,,,,
60,"Amos 5:1",,,,,,,,
61,"Amos 5:2",,,,,,,,
62,"Amos 5:3",,,,,,,,
63,"Amos 5:4",,,,,,,,
64,"Amos 5:5",,,,,,,,
65,"Amos 5:6",,,,,,,,
66,"Amos 5:7",,,,,,,,
67,"Amos 5:8",,,,,,,,
68,"Amos 5:9",,,,,,,,
69,"Amos 5:10",,,,,,,,
70,"Amos 5:11",,,,,,,,
71,"Amos 5:12",,,,,,,,
72,"Amos 5:13",,,,,,,,
73,"Amos 5:14",,,,,,,,
74,"Amos 5:15",,,,,,,,
75,"Amos 5:16",,,,,,,,
76,"Amos 5:17",,,,,,,,
77,"Amos 5:18",,,,,,,,
78,"Amos 5:19",,,,,,,,
79,"Amos 5:20",,,,,,,,
80,"Amos 5:21",,,,,,,,
81,"Amos 5:22",,,,,,,,
82,"Amos 5:23",,,,,,,,
83,"Amos 5:24",,,,,,,,
84,"Amos 5:25",,,,,,,,
85,"Amos 5:26",,,,,,,,
86,"Amos 5:27",,,,,,,,
87,"Amos 6:1",,,,,,,,
88,"Amos 6:2",,,,,,,,
89,"Amos 6:3",,,,,,,,
90,"Amos 6:4",,,,,,,,
91,"Amos 6:5",,,,,,,,
92,"Amos 6:6",,,,,,,,
93,"Amos 6:7",,,,,,,,
94,"Amos 6:8",,,,,,,,
95,"Amos 6:9",,,,,,,,
96,"Amos 6:10",,,,,,,,
97,"Amos 6:11",,,,,,,,
98,"Amos 6:12",,,,,,,,
99,"Amos 6:13",,,,,,,,
100,"Amos 6:14",,,,,,,,
101,"Amos 7:1",,,,,,,,
102,"Amos 7:2",,,,,,,,
103,"Amos 7:3",,,,,,,,
104,"Amos 7:4",,,,,,,,
105,"Amos 7:5",,,,,,,,
106,"Amos 7:6",,,,,,,,
107,"Amos 7:7",,,,,,,,
108,"Amos 7:8",,,,,,,,
109,"Amos 7:9",,,,,,,,
110,"Amos 7:10",,,,,,,,
111,"Amos 7:11",,,,,,,,
112,"Amos 7:12",,,,,,,,
113,"Amos 7:13",,,,,,,,
114,"Amos 7:14",,,,,,,,
115,"Amos 7:15",,,,,,,,
116,"Amos 7:16",,,,,,,,
117,"Amos 7:17",,,,,,,,
118,"Amos 8:1",,,,,,,,
119,"Amos 8:2",,,,,,,,
120,"Amos 8:3",,,,,,,,
121,"Amos 8:4",,,,,,,,
122,"Amos 8:5",,,,,,,,
123,"Amos 8:6",,,,,,,,
124,"Amos 8:7",,,,,,,,
125,"Amos 8:8",,,,,,,,
126,"Amos 8:9",,,,,,,,
127,"Amos 8:10",,,,,,,,
128,"Amos 8:11",,,,,,,,
129,"Amos 8:12",,,,,,,,
130,"Amos 8:13",,,,,,,,
131,"Amos 8:14",,,,,,,,
132,"Amos 9:1",,,,,,,,
133,"Amos 9:2",,,,,,,,
134,"Amos 9:3",,,,,,,,
135,"Amos 9:4",,,,,,,,
136,"Amos 9:5",,,,,,,,
137,"Amos 9:6",,,,,,,,
138,"Amos 9:7",,,,,,,,
139,"Amos 9:8",,,,,,,,
140,"Amos 9:9",,,,,,,,
141,"Amos 9:10",,,,,,,,
142,"Amos 9:11",,,,,,,,
143,"Amos 9:12",,,,,,,,
144,"Amos 9:13",,,,,,,,
145,"Amos 9:14",,,,,,,,
146,"Amos 9:15",,,,,,,,
