ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Deuteronomy 1:1",,,,,,,,
2,"Deuteronomy 1:2",,,,,,,,
3,"Deuteronomy 1:3",,,,,,,,
4,"Deuteronomy 1:4",,,,,,,,
5,"Deuteronomy 1:5",,,,,,,,
6,"Deuteronomy 1:6",,,,,,,,
7,"Deuteronomy 1:7",,,,,,,,
8,"Deuteronomy 1:8",,,,,,,,
9,"Deuteronomy 1:9",,,,,,,,
10,"Deuteronomy 1:10",,,,,,,,
11,"Deuteronomy 1:11",,,,,,,,
12,"Deuteronomy 1:12",,,,,,,,
13,"Deuteronomy 1:13",,,,,,,,
14,"Deuteronomy 1:14",,,,,,,,
15,"Deuteronomy 1:15",,,,,,,,
16,"Deuteronomy 1:16",,,,,,,,
17,"Deuteronomy 1:17",,,,,,,,
18,"Deuteronomy 1:18",,,,,,,,
19,"Deuteronomy 1:19",,,,,,,,
20,"Deuteronomy 1:20",,,,,,,,
21,"Deuteronomy 1:21",,,,,,,,
22,"Deuteronomy 1:22",,,,,,,,
23,"Deuteronomy 1:23",,,,,,,,
24,"Deuteronomy 1:24",,,,,,,,
25,"Deuteronomy 1:25",,,,,,,,
26,"Deuteronomy 1:26",,,,,,,,
27,"Deuteronomy 1:27",,,,,,,,
28,"Deuteronomy 1:28",,,,,,,,
29,"Deuteronomy 1:29",,,,,,,,
30,"Deuteronomy 1:30",,,,,,,,
31,"Deuteronomy 1:31",,,,,,,,
32,"Deuteronomy 1:32",,,,,,,,
33,"Deuteronomy 1:33",,,,,,,,
34,"Deuteronomy 1:34",,,,,,,,
35,"Deuteronomy 1:35",,,,,,,,
36,"Deuteronomy 1:36",,,,,,,,
37,"Deuteronomy 1:37",,,,,,,,
38,"Deuteronomy 1:38",,,,,,,,
39,"Deuteronomy 1:39",,,,,,,,
40,"Deuteronomy 1:40",,,,,,,,
41,"Deuteronomy 1:41",,,,,,,,
