ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Ecclesiastes 1:1",,,,,,,,
2,"Ecclesiastes 1:2",,,,,,,,
3,"Ecclesiastes 1:3",,,,,,,,
4,"Ecclesiastes 1:4",,,,,,,,
5,"Ecclesiastes 1:5",,,,,,,,
6,"Ecclesiastes 1:6",,,,,,,,
7,"Ecclesiastes 1:7",,,,,,,,
8,"Ecclesiastes 1:8",,,,,,,,
9,"Ecclesiastes 1:9",,,,,,,,
10,"Ecclesiastes 1:10",,,,,,,,
11,"Ecclesiastes 1:11",,,,,,,,
12,"Ecclesiastes 1:12",,,,,,,,
13,"Ecclesiastes 1:13",,,,,,,,
14,"Ecclesiastes 1:14",,,,,,,,
15,"Ecclesiastes 1:15",,,,,,,,
16,"Ecclesiastes 1:16",,,,,,,,
17,"Ecclesiastes 1:17",,,,,,,,
18,"Ecclesiastes 1:18",,,,,,,,
19,"Ecclesiastes 2:1",,,,,,,,
20,"Ecclesiastes 2:2",,,,,,,,
21,"Ecclesiastes 2:3",,,,,,,,
22,"Ecclesiastes 2:4",,,,,,,,
23,"Ecclesiastes 2:5",,,,,,,,
24,"Ecclesiastes 2:6",,,,,,,,
25,"Ecclesiastes 2:7",,,,,,,,
26,"Ecclesiastes 2:8",,,,,,,,
27,"Ecclesiastes 2:9",,,,,,,,
28,"Ecclesiastes 2:10",,,,,,,,
29,"Ecclesiastes 2:11",,,,,,,,
30,"Ecclesiastes 2:12",,,,,,,,
31,"Ecclesiastes 2:13",,,,,,,,
32,"Ecclesiastes 2:14",,,,,,,,
33,"Ecclesiastes 2:15",,,,,,,,
34,"Ecclesiastes 2:16",,,,,,,,
35,"Ecclesiastes 2:17",,,,,,,,
36,"Ecclesiastes 2:18",,,,,,,,
37,"Ecclesiastes 2:19",,,,,,,,
38,"Ecclesiastes 2:20",,,,,,,,
39,"Ecclesiastes 2:21",,,,,,,,
40,"Ecclesiastes 2:22",,,,,,,,
41,"Ecclesiastes 2:23",,,,,,,,
42,"Ecclesiastes 2:24",,,,,,,,
43,"Ecclesiastes 2:25",,,,,,,,
44,"Ecclesiastes 2:26",,,,,,,,
45,"Ecclesiastes 3:1",,,,,,,,
46,"Ecclesiastes 3:2",,,,,,,,
47,"Ecclesiastes 3:3",,,,,,,,
48,"Ecclesiastes 3:4",,,,,,,,
49,"Ecclesiastes 3:5",,,,,,,,
50,"Ecclesiastes 3:6",,,,,,,,
51,"Ecclesiastes 3:7",,,,,,,,
52,"Ecclesiastes 3:8",,,,,,,,
53,"Ecclesiastes 3:9",,,,,,,,
54,"Ecclesiastes 3:10",,,,,,,,
55,"Ecclesiastes 3:11",,,,,,,,
56,"Ecclesiastes 3:12",,,,,,,,
57,"Ecclesiastes 3:13",,,,,,,,
58,"Ecclesiastes 3:14",,,,,,,,
59,"Ecclesiastes 3:15",,,,,,,,
60,"Ecclesiastes 3:16",,,,,,,,
61,"Ecclesiastes 3:17",,,,,,,,
62,"Ecclesiastes 3:18",,,,,,,,
63,"Ecclesiastes 3:19",,,,,,,,
64,"Ecclesiastes 3:20",,,,,,,,
65,"Ecclesiastes 3:21",,,,,,,,
66,"Ecclesiastes 3:22",,,,,,,,
67,"Ecclesiastes 4:1",,,,,,,,
68,"Ecclesiastes 4:2",,,,,,,,
69,"Ecclesiastes 4:3",,,,,,,,
70,"Ecclesiastes 4:4",,,,,,,,
71,"Ecclesiastes 4:5",,,,,,,,
72,"Ecclesiastes 4:6",,,,,,,,
73,"Ecclesiastes 4:7",,,,,,,,
74,"Ecclesiastes 4:8",,,,,,,,
75,"Ecclesiastes 4:9",,,,,,,,
76,"Ecclesiastes 4:10",,,,,,,,
77,"Ecclesiastes 4:11",,,,,,,,
78,"Ecclesiastes 4:12",,,,,,,,
79,"Ecclesiastes 4:13",,,,,,,,
80,"Ecclesiastes 4:14",,,,,,,,
81,"Ecclesiastes 4:15",,,,,,,,
82,"Ecclesiastes 4:16",,,,,,,,
83,"Ecclesiastes 5:1",,,,,,,,
84,"Ecclesiastes 5:2",,,,,,,,
85,"Ecclesiastes 5:3",,,,,,,,
86,"Ecclesiastes 5:4",,,,,,,,
87,"Ecclesiastes 5:5",,,,,,,,
88,"Ecclesiastes 5:6",,,,,,,,
89,"Ecclesiastes 5:7",,,,,,,,
90,"Ecclesiastes 5:8",,,,,,,,
91,"Ecclesiastes 5:9",,,,,,,,
92,"Ecclesiastes 5:10",,,,,,,,
93,"Ecclesiastes 5:11",,,,,,,,
94,"Ecclesiastes 5:12",,,,,,,,
95,"Ecclesiastes 5:13",,,,,,,,
96,"Ecclesiastes 5:14",,,,,,,,
97,"Ecclesiastes 5:15",,,,,,,,
98,"Ecclesiastes 5:16",,,,,,,,
