ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Ezekiel 1:1",,,,,,,,
2,"Ezekiel 1:2",,,,,,,,
3,"Ezekiel 1:3",,,,,,,,
4,"Ezekiel 1:4",,,,,,,,
5,"Ezekiel 1:5",,,,,,,,
6,"Ezekiel 1:6",,,,,,,,
7,"Ezekiel 1:7",,,,,,,,
8,"Ezekiel 1:8",,,,,,,,
9,"Ezekiel 1:9",,,,,,,,
10,"Ezekiel 1:10",,,,,,,,
11,"Ezekiel 1:11",,,,,,,,
12,"Ezekiel 1:12",,,,,,,,
13,"Ezekiel 1:13",,,,,,,,
14,"Ezekiel 1:14",,,,,,,,
15,"Ezekiel 1:15",,,,,,,,
16,"Ezekiel 1:16",,,,,,,,
17,"Ezekiel 1:17",,,,,,,,
18,"Ezekiel 1:18",,,,,,,,
19,"Ezekiel 1:19",,,,,,,,
20,"Ezekiel 1:20",,,,,,,,
21,"Ezekiel 1:21",,,,,,,,
22,"Ezekiel 1:22",,,,,,,,
23,"Ezekiel 1:23",,,,,,,,
24,"Ezekiel 1:24",,,,,,,,
25,"Ezekiel 1:25",,,,,,,,
26,"Ezekiel 1:26",,,,,,,,
27,"Ezekiel 1:27",,,,,,,,
28,"Ezekiel 1:28",,,,,,,,
29,"Ezekiel 2:1",,,,,,,,
30,"Ezekiel 2:2",,,,,,,,
31,"Ezekiel 2:3",,,,,,,,
32,"Ezekiel 2:4",,,,,,,,
33,"Ezekiel 2:5",,,,,,,,
34,"Ezekiel 2:6",,,,,,,,
35,"Ezekiel 2:7",,,,,,,,
36,"Ezekiel 2:8",,,,,,,,
37,"Ezekiel 2:9",,,,,,,,
38,"Ezekiel 2:10",,,,,,,,
39,"Ezekiel 3:1",,,,,,,,
40,"Ezekiel 3:2",,,,,,,,
41,"Ezekiel 3:3",,,,,,,,
42,"Ezekiel 3:4",,,,,,,,
43,"Ezekiel 3:5",,,,,,,,
44,"Ezekiel 3:6",,,,,,,,
45,"Ezekiel 3:7",,,,,,,,
46,"Ezekiel 3:8",,,,,,,,
47,"Ezekiel 3:9",,,,,,,,
48,"Ezekiel 3:10",,,,,,,,
49,"Ezekiel 3:11",,,,,,,,
50,"Ezekiel 3:12",,,,,,,,
51,"Ezekiel 3:13",,,,,,,,
52,"Ezekiel 3:14",,,,,,,,
53,"Ezekiel 3:15",,,,,,,,
54,"Ezekiel 3:16",,,,,,,,
55,"Ezekiel 3:17",,,,,,,,
56,"Ezekiel 3:18",,,,,,,,
57,"Ezekiel 3:19",,,,,,,,
58,"Ezekiel 3:20",,,,,,,,
59,"Ezekiel 3:21",,,,,,,,
60,"Ezekiel 3:22",,,,,,,,
61,"Ezekiel 3:23",,,,,,,,
62,"Ezekiel 3:24",,,,,,,,
63,"Ezekiel 3:25",,,,,,,,
64,"Ezekiel 3:26",,,,,,,,
65,"Ezekiel 3:27",,,,,,,,
66,"Ezekiel 4:1",,,,,,,,
67,"Ezekiel 4:2",,,,,,,,
68,"Ezekiel 4:3",,,,,,,,
69,"Ezekiel 4:4",,,,,,,,
70,"Ezekiel 4:5",,,,,,,,
71,"Ezekiel 4:6",,,,,,,,
72,"Ezekiel 4:7",,,,,,,,
73,"Ezekiel 4:8",,,,,,,,
74,"Ezekiel 4:9",,,,,,,,
75,"Ezekiel 4:10",,,,,,,,
76,"Ezekiel 4:11",,,,,,,,
77,"Ezekiel 4:12",,,,,,,,
78,"Ezekiel 4:13",,,,,,,,
79,"Ezekiel 4:14",,,,,,,,
80,"Ezekiel 4:15",,,,,,,,
81,"Ezekiel 4:16",,,,,,,,
82,"Ezekiel 4:17",,,,,,,,
83,"Ezekiel 5:1",,,,,,,,
84,"Ezekiel 5:2",,,,,,,,
85,"Ezekiel 5:3",,,,,,,,
86,"Ezekiel 5:4",,,,,,,,
87,"Ezekiel 5:5",,,,,,,,
88,"Ezekiel 5:6",,,,,,,,
89,"Ezekiel 5:7",,,,,,,,
90,"Ezekiel 5:8",,,,,,,,
91,"Ezekiel 5:9",,,,,,,,
92,"Ezekiel 5:10",,,,,,,,
93,"Ezekiel 5:11",,,,,,,,
94,"Ezekiel 5:12",,,,,,,,
95,"Ezekiel 5:13",,,,,,,,
96,"Ezekiel 5:14",,,,,,,,
97,"Ezekiel 5:15",,,,,,,,
98,"Ezekiel 5:16",,,,,,,,
99,"Ezekiel 5:17",,,,,,,,
100,"Ezekiel 6:1",,,,,,,,
101,"Ezekiel 6:2",,,,,,,,
102,"Ezekiel 6:3",,,,,,,,
103,"Ezekiel 6:4",,,,,,,,
104,"Ezekiel 6:5",,,,,,,,
105,"Ezekiel 6:6",,,,,,,,
106,"Ezekiel 6:7",,,,,,,,
107,"Ezekiel 6:8",,,,,,,,
108,"Ezekiel 6:9",,,,,,,,
109,"Ezekiel 6:10",,,,,,,,
110,"Ezekiel 6:11",,,,,,,,
111,"Ezekiel 6:12",,,,,,,,
112,"Ezekiel 6:13",,,,,,,,
