ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
2,"Ezra 1:2",,,,,,,,
3,"Ezra 1:3",,,,,,,,
4,"Ezra 1:4",,,,,,,,
5,"Ezra 1:5",,,,,,,,
6,"Ezra 1:6",,,,,,,,
7,"Ezra 1:7",,,,,,,,
8,"Ezra 1:8",,,,,,,,
9,"Ezra 1:9",,,,,,,,
10,"Ezra 1:10",,,,,,,,
11,"Ezra 1:11",,,,,,,,
12,"Ezra 2:1",,,,,,,,
13,"Ezra 2:2",,,,,,,,
14,"Ezra 2:3",,,,,,,,
15,"Ezra 2:4",,,,,,,,
16,"Ezra 2:5",,,,,,,,
17,"Ezra 2:6",,,,,,,,
18,"Ezra 2:7",,,,,,,,
19,"Ezra 2:8",,,,,,,,
20,"Ezra 2:9",,,,,,,,
21,"Ezra 2:10",,,,,,,,
22,"Ezra 2:11",,,,,,,,
23,"Ezra 2:12",,,,,,,,
24,"Ezra 2:13",,,,,,,,
25,"Ezra 2:14",,,,,,,,
26,"Ezra 2:15",,,,,,,,
27,"Ezra 2:16",,,,,,,,
28,"Ezra 2:17",,,,,,,,
29,"Ezra 2:18",,,,,,,,
30,"Ezra 2:19",,,,,,,,
31,"Ezra 2:20",,,,,,,,
32,"Ezra 2:21",,,,,,,,
33,"Ezra 2:22",,,,,,,,
34,"Ezra 2:23",,,,,,,,
35,"Ezra 2:24",,,,,,,,
36,"Ezra 2:25",,,,,,,,
37,"Ezra 2:26",,,,,,,,
38,"Ezra 2:27",,,,,,,,
39,"Ezra 2:28",,,,,,,,
40,"Ezra 2:29",,,,,,,,
41,"Ezra 2:30",,,,,,,,
42,"Ezra 2:31",,,,,,,,
43,"Ezra 2:32",,,,,,,,
44,"Ezra 2:33",,,,,,,,
45,"Ezra 2:34",,,,,,,,
46,"Ezra 2:35",,,,,,,,
47,"Ezra 2:36",,,,,,,,
48,"Ezra 2:37",,,,,,,,
49,"Ezra 2:38",,,,,,,,
50,"Ezra 2:39",,,,,,,,
51,"Ezra 2:40",,,,,,,,
52,"Ezra 2:41",,,,,,,,
53,"Ezra 2:42",,,,,,,,
54,"Ezra 2:43",,,,,,,,
55,"Ezra 2:44",,,,,,,,
56,"Ezra 2:45",,,,,,,,
57,"Ezra 2:46",,,,,,,,
58,"Ezra 2:47",,,,,,,,
59,"Ezra 2:48",,,,,,,,
60,"Ezra 2:49",,,,,,,,
61,"Ezra 2:50",,,,,,,,
62,"Ezra 2:51",,,,,,,,
63,"Ezra 2:52",,,,,,,,
64,"Ezra 2:53",,,,,,,,
65,"Ezra 2:54",,,,,,,,
66,"Ezra 2:55",,,,,,,,
67,"Ezra 2:56",,,,,,,,
68,"Ezra 2:57",,,,,,,,
69,"Ezra 2:58",,,,,,,,
70,"Ezra 2:59",,,,,,,,
71,"Ezra 2:60",,,,,,,,
72,"Ezra 2:61",,,,,,,,
73,"Ezra 2:62",,,,,,,,
74,"Ezra 2:63",,,,,,,,
75,"Ezra 2:64",,,,,,,,
76,"Ezra 2:65",,,,,,,,
77,"Ezra 2:66",,,,,,,,
78,"Ezra 2:67",,,,,,,,
79,"Ezra 2:68",,,,,,,,
80,"Ezra 2:69",,,,,,,,
81,"Ezra 2:70",,,,,,,,
82,"Ezra 3:1",,,,,,,,
83,"Ezra 3:2",,,,,,,,
84,"Ezra 3:3",,,,,,,,
85,"Ezra 3:4",,,,,,,,
86,"Ezra 3:5",,,,,,,,
87,"Ezra 3:6",,,,,,,,
88,"Ezra 3:7",,,,,,,,
89,"Ezra 3:8",,,,,,,,
90,"Ezra 3:9",,,,,,,,
91,"Ezra 3:10",,,,,,,,
92,"Ezra 3:11",,,,,,,,
93,"Ezra 3:12",,,,,,,,
94,"Ezra 3:13",,,,,,,,
95,"Ezra 4:1",,,,,,,,
96,"Ezra 4:2",,,,,,,,
97,"Ezra 4:3",,,,,,,,
98,"Ezra 4:4",,,,,,,,
99,"Ezra 4:5",,,,,,,,
100,"Ezra 4:6",,,,,,,,
101,"Ezra 4:7",,,,,,,,
102,"Ezra 4:8",,,,,,,,
103,"Ezra 4:9",,,,,,,,
104,"Ezra 4:10",,,,,,,,
105,"Ezra 4:11",,,,,,,,
106,"Ezra 4:12",,,,,,,,
107,"Ezra 4:13",,,,,,,,
108,"Ezra 4:14",,,,,,,,
109,"Ezra 4:15",,,,,,,,
110,"Ezra 4:16",,,,,,,,
111,"Ezra 4:17",,,,,,,,
112,"Ezra 4:18",,,,,,,,
113,"Ezra 4:19",,,,,,,,
114,"Ezra 4:20",,,,,,,,
115,"Ezra 4:21",,,,,,,,
116,"Ezra 4:22",,,,,,,,
117,"Ezra 4:23",,,,,,,,
118,"Ezra 4:24",,,,,,,,
119,"Ezra 5:1",,,,,,,,
120,"Ezra 5:2",,,,,,,,
121,"Ezra 5:3",,,,,,,,
122,"Ezra 5:4",,,,,,,,
123,"Ezra 5:5",,,,,,,,
124,"Ezra 5:6",,,,,,,,
125,"Ezra 5:7",,,,,,,,
126,"Ezra 5:8",,,,,,,,
127,"Ezra 5:9",,,,,,,,
128,"Ezra 5:10",,,,,,,,
129,"Ezra 5:11",,,,,,,,
130,"Ezra 5:12",,,,,,,,
131,"Ezra 5:13",,,,,,,,
132,"Ezra 5:14",,,,,,,,
133,"Ezra 5:15",,,,,,,,
134,"Ezra 5:16",,,,,,,,
135,"Ezra 5:17",,,,,,,,
136,"Ezra 6:1",,,,,,,,
137,"Ezra 6:2",,,,,,,,
138,"Ezra 6:3",,,,,,,,
139,"Ezra 6:4",,,,,,,,
140,"Ezra 6:5",,,,,,,,
141,"Ezra 6:6",,,,,,,,
142,"Ezra 6:7",,,,,,,,
143,"Ezra 6:8",,,,,,,,
144,"Ezra 6:9",,,,,,,,
145,"Ezra 6:10",,,,,,,,
146,"Ezra 6:11",,,,,,,,
147,"Ezra 6:12",,,,,,,,
148,"Ezra 6:13",,,,,,,,
149,"Ezra 6:14",,,,,,,,
150,"Ezra 6:15",,,,,,,,
151,"Ezra 6:16",,,,,,,,
152,"Ezra 6:17",,,,,,,,
153,"Ezra 6:18",,,,,,,,
154,"Ezra 6:19",,,,,,,,
155,"Ezra 6:20",,,,,,,,
156,"Ezra 6:21",,,,,,,,
157,"Ezra 6:22",,,,,,,,
158,"Ezra 7:1",,,,,,,,
159,"Ezra 7:2",,,,,,,,
160,"Ezra 7:3",,,,,,,,
161,"Ezra 7:4",,,,,,,,
162,"Ezra 7:5",,,,,,,,
163,"Ezra 7:6",,,,,,,,
164,"Ezra 7:7",,,,,,,,
165,"Ezra 7:8",,,,,,,,
166,"Ezra 7:9",,,,,,,,
167,"Ezra 7:10",,,,,,,,
168,"Ezra 7:11",,,,,,,,
169,"Ezra 7:12",,,,,,,,
170,"Ezra 7:13",,,,,,,,
171,"Ezra 7:14",,,,,,,,
172,"Ezra 7:15",,,,,,,,
173,"Ezra 7:16",,,,,,,,
174,"Ezra 7:17",,,,,,,,
175,"Ezra 7:18",,,,,,,,
176,"Ezra 7:19",,,,,,,,
177,"Ezra 7:20",,,,,,,,
178,"Ezra 7:21",,,,,,,,
179,"Ezra 7:22",,,,,,,,
180,"Ezra 7:23",,,,,,,,
181,"Ezra 7:24",,,,,,,,
182,"Ezra 7:25",,,,,,,,
183,"Ezra 7:26",,,,,,,,
184,"Ezra 7:27",,,,,,,,
185,"Ezra 7:28",,,,,,,,
186,"Ezra 8:1",,,,,,,,
187,"Ezra 8:2",,,,,,,,
188,"Ezra 8:3",,,,,,,,
189,"Ezra 8:4",,,,,,,,
190,"Ezra 8:5",,,,,,,,
191,"Ezra 8:6",,,,,,,,
192,"Ezra 8:7",,,,,,,,
193,"Ezra 8:8",,,,,,,,
194,"Ezra 8:9",,,,,,,,
195,"Ezra 8:10",,,,,,,,
196,"Ezra 8:11",,,,,,,,
197,"Ezra 8:12",,,,,,,,
198,"Ezra 8:13",,,,,,,,
199,"Ezra 8:14",,,,,,,,
200,"Ezra 8:15",,,,,,,,
201,"Ezra 8:16",,,,,,,,
202,"Ezra 8:17",,,,,,,,
203,"Ezra 8:18",,,,,,,,
204,"Ezra 8:19",,,,,,,,
205,"Ezra 8:20",,,,,,,,
206,"Ezra 8:21",,,,,,,,
207,"Ezra 8:22",,,,,,,,
208,"Ezra 8:23",,,,,,,,
209,"Ezra 8:24",,,,,,,,
210,"Ezra 8:25",,,,,,,,
211,"Ezra 8:26",,,,,,,,
212,"Ezra 8:27",,,,,,,,
213,"Ezra 8:28",,,,,,,,
214,"Ezra 8:29",,,,,,,,
215,"Ezra 8:30",,,,,,,,
216,"Ezra 8:31",,,,,,,,
217,"Ezra 8:32",,,,,,,,
218,"Ezra 8:33",,,,,,,,
219,"Ezra 8:34",,,,,,,,
220,"Ezra 8:35",,,,,,,,
221,"Ezra 8:36",,,,,,,,
222,"Ezra 9:1",,,,,,,,
223,"Ezra 9:2",,,,,,,,
224,"Ezra 9:3",,,,,,,,
225,"Ezra 9:4",,,,,,,,
226,"Ezra 9:5",,,,,,,,
227,"Ezra 9:6",,,,,,,,
228,"Ezra 9:7",,,,,,,,
229,"Ezra 9:8",,,,,,,,
230,"Ezra 9:9",,,,,,,,
231,"Ezra 9:10",,,,,,,,
232,"Ezra 9:11",,,,,,,,
233,"Ezra 9:12",,,,,,,,
234,"Ezra 9:13",,,,,,,,
235,"Ezra 9:14",,,,,,,,
236,"Ezra 9:15",,,,,,,,
237,"Ezra 10:1",,,,,,,,
238,"Ezra 10:2",,,,,,,,
239,"Ezra 10:3",,,,,,,,
240,"Ezra 10:4",,,,,,,,
241,"Ezra 10:5",,,,,,,,
242,"Ezra 10:6",,,,,,,,
243,"Ezra 10:7",,,,,,,,
244,"Ezra 10:8",,,,,,,,
245,"Ezra 10:9",,,,,,,,
246,"Ezra 10:10",,,,,,,,
247,"Ezra 10:11",,,,,,,,
248,"Ezra 10:12",,,,,,,,
249,"Ezra 10:13",,,,,,,,
250,"Ezra 10:14",,,,,,,,
251,"Ezra 10:15",,,,,,,,
252,"Ezra 10:16",,,,,,,,
253,"Ezra 10:17",,,,,,,,
254,"Ezra 10:18",,,,,,,,
255,"Ezra 10:19",,,,,,,,
256,"Ezra 10:20",,,,,,,,
257,"Ezra 10:21",,,,,,,,
258,"Ezra 10:22",,,,,,,,
259,"Ezra 10:23",,,,,,,,
260,"Ezra 10:24",,,,,,,,
261,"Ezra 10:25",,,,,,,,
262,"Ezra 10:26",,,,,,,,
263,"Ezra 10:27",,,,,,,,
264,"Ezra 10:28",,,,,,,,
265,"Ezra 10:29",,,,,,,,
266,"Ezra 10:30",,,,,,,,
267,"Ezra 10:31",,,,,,,,
268,"Ezra 10:32",,,,,,,,
269,"Ezra 10:33",,,,,,,,
270,"Ezra 10:34",,,,,,,,
271,"Ezra 10:35",,,,,,,,
272,"Ezra 10:36",,,,,,,,
273,"Ezra 10:37",,,,,,,,
274,"Ezra 10:38",,,,,,,,
275,"Ezra 10:39",,,,,,,,
276,"Ezra 10:40",,,,,,,,
277,"Ezra 10:41",,,,,,,,
278,"Ezra 10:42",,,,,,,,
279,"Ezra 10:43",,,,,,,,
280,"Ezra 10:44",,,,,,,,
