ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Galatians 1:1",,,,,,,,
2,"Galatians 1:2",,,,,,,,
3,"Galatians 1:3",,,,,,,,
4,"Galatians 1:4",,,,,,,,
5,"Galatians 1:5",,,,,,,,
6,"Galatians 1:6",,,,,,,,
7,"Galatians 1:7",,,,,,,,
8,"Galatians 1:8",,,,,,,,
9,"Galatians 1:9",,,,,,,,
10,"Galatians 1:10",,,,,,,,
11,"Galatians 1:11",,,,,,,,
12,"Galatians 1:12",,,,,,,,
13,"Galatians 1:13",,,,,,,,
14,"Galatians 1:14",,,,,,,,
15,"Galatians 1:15",,,,,,,,
16,"Galatians 1:16",,,,,,,,
17,"Galatians 1:17",,,,,,,,
18,"Galatians 1:18",,,,,,,,
19,"Galatians 1:19",,,,,,,,
20,"Galatians 1:20",,,,,,,,
21,"Galatians 1:21",,,,,,,,
22,"Galatians 1:22",,,,,,,,
23,"Galatians 1:23",,,,,,,,
24,"Galatians 1:24",,,,,,,,
25,"Galatians 2:1",,,,,,,,
26,"Galatians 2:2",,,,,,,,
27,"Galatians 2:3",,,,,,,,
28,"Galatians 2:4",,,,,,,,
29,"Galatians 2:5",,,,,,,,
30,"Galatians 2:6",,,,,,,,
31,"Galatians 2:7",,,,,,,,
32,"Galatians 2:8",,,,,,,,
33,"Galatians 2:9",,,,,,,,
34,"Galatians 2:10",,,,,,,,
35,"Galatians 2:11",,,,,,,,
36,"Galatians 2:12",,,,,,,,
37,"Galatians 2:13",,,,,,,,
38,"Galatians 2:14",,,,,,,,
39,"Galatians 2:15",,,,,,,,
40,"Galatians 2:16",,,,,,,,
41,"Galatians 2:17",,,,,,,,
42,"Galatians 2:18",,,,,,,,
43,"Galatians 2:19",,,,,,,,
44,"Galatians 2:20",,,,,,,,
45,"Galatians 2:21",,,,,,,,
46,"Galatians 3:1",,,,,,,,
47,"Galatians 3:2",,,,,,,,
48,"Galatians 3:3",,,,,,,,
49,"Galatians 3:4",,,,,,,,
50,"Galatians 3:5",,,,,,,,
51,"Galatians 3:6",,,,,,,,
52,"Galatians 3:7",,,,,,,,
53,"Galatians 3:8",,,,,,,,
54,"Galatians 3:9",,,,,,,,
55,"Galatians 3:10",,,,,,,,
56,"Galatians 3:11",,,,,,,,
57,"Galatians 3:12",,,,,,,,
58,"Galatians 3:13",,,,,,,,
59,"Galatians 3:14",,,,,,,,
60,"Galatians 3:15",,,,,,,,
