ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Haggai 1:1",,,,,,,,
2,"Haggai 1:2",,,,,,,,
3,"Haggai 1:3",,,,,,,,
4,"Haggai 1:4",,,,,,,,
5,"Haggai 1:5",,,,,,,,
6,"Haggai 1:6",,,,,,,,
7,"Haggai 1:7",,,,,,,,
8,"Haggai 1:8",,,,,,,,
9,"Haggai 1:9",,,,,,,,
10,"Haggai 1:10",,,,,,,,
11,"Haggai 1:11",,,,,,,,
12,"Haggai 1:12",,,,,,,,
13,"Haggai 1:13",,,,,,,,
14,"Haggai 1:14",,,,,,,,
15,"Haggai 1:15",,,,,,,,
16,"Haggai 2:1",,,,,,,,
17,"Haggai 2:2",,,,,,,,
18,"Haggai 2:3",,,,,,,,
19,"Haggai 2:4",,,,,,,,
20,"Haggai 2:5",,,,,,,,
21,"Haggai 2:6",,,,,,,,
22,"Haggai 2:7",,,,,,,,
23,"Haggai 2:8",,,,,,,,
24,"Haggai 2:9",,,,,,,,
25,"Haggai 2:10",,,,,,,,
26,"Haggai 2:11",,,,,,,,
27,"Haggai 2:12",,,,,,,,
28,"Haggai 2:13",,,,,,,,
29,"Haggai 2:14",,,,,,,,
30,"Haggai 2:15",,,,,,,,
31,"Haggai 2:16",,,,,,,,
32,"Haggai 2:17",,,,,,,,
33,"Haggai 2:18",,,,,,,,
34,"Haggai 2:19",,,,,,,,
35,"Haggai 2:20",,,,,,,,
36,"Haggai 2:21",,,,,,,,
37,"Haggai 2:22",,,,,,,,
38,"Haggai 2:23",,,,,,,,
