ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Hebrews 1:1",,,,,,,,
2,"Hebrews 1:2",,,,,,,,
3,"Hebrews 1:3",,,,,,,,
4,"Hebrews 1:4",,,,,,,,
5,"Hebrews 1:5",,,,,,,,
6,"Hebrews 1:6",,,,,,,,
7,"Hebrews 1:7",,,,,,,,
8,"Hebrews 1:8",,,,,,,,
9,"Hebrews 1:9",,,,,,,,
10,"Hebrews 1:10",,,,,,,,
11,"Hebrews 1:11",,,,,,,,
12,"Hebrews 1:12",,,,,,,,
13,"Hebrews 1:13",,,,,,,,
14,"Hebrews 1:14",,,,,,,,
15,"Hebrews 2:1",,,,,,,,
16,"Hebrews 2:2",,,,,,,,
17,"Hebrews 2:3",,,,,,,,
18,"Hebrews 2:4",,,,,,,,
19,"Hebrews 2:5",,,,,,,,
20,"Hebrews 2:6",,,,,,,,
21,"Hebrews 2:7",,,,,,,,
22,"Hebrews 2:8",,,,,,,,
23,"Hebrews 2:9",,,,,,,,
24,"Hebrews 2:10",,,,,,,,
25,"Hebrews 2:11",,,,,,,,
26,"Hebrews 2:12",,,,,,,,
27,"Hebrews 2:13",,,,,,,,
28,"Hebrews 2:14",,,,,,,,
29,"Hebrews 2:15",,,,,,,,
30,"Hebrews 2:16",,,,,,,,
31,"Hebrews 2:17",,,,,,,,
32,"Hebrews 2:18",,,,,,,,
33,"Hebrews 3:1",,,,,,,,
34,"Hebrews 3:2",,,,,,,,
35,"Hebrews 3:3",,,,,,,,
36,"Hebrews 3:4",,,,,,,,
37,"Hebrews 3:5",,,,,,,,
38,"Hebrews 3:6",,,,,,,,
39,"Hebrews 3:7",,,,,,,,
40,"Hebrews 3:8",,,,,,,,
41,"Hebrews 3:9",,,,,,,,
42,"Hebrews 3:10",,,,,,,,
43,"Hebrews 3:11",,,,,,,,
44,"Hebrews 3:12",,,,,,,,
45,"Hebrews 3:13",,,,,,,,
46,"Hebrews 3:14",,,,,,,,
47,"Hebrews 3:15",,,,,,,,
48,"Hebrews 3:16",,,,,,,,
49,"Hebrews 3:17",,,,,,,,
50,"Hebrews 3:18",,,,,,,,
51,"Hebrews 3:19",,,,,,,,
52,"Hebrews 4:1",,,,,,,,
53,"Hebrews 4:2",,,,,,,,
54,"Hebrews 4:3",,,,,,,,
55,"Hebrews 4:4",,,,,,,,
56,"Hebrews 4:5",,,,,,,,
57,"Hebrews 4:6",,,,,,,,
58,"Hebrews 4:7",,,,,,,,
59,"Hebrews 4:8",,,,,,,,
60,"Hebrews 4:9",,,,,,,,
61,"Hebrews 4:10",,,,,,,,
62,"Hebrews 4:11",,,,,,,,
63,"Hebrews 4:12",,,,,,,,
64,"Hebrews 4:13",,,,,,,,
65,"Hebrews 4:14",,,,,,,,
66,"Hebrews 4:15",,,,,,,,
67,"Hebrews 4:16",,,,,,,,
68,"Hebrews 5:1",,,,,,,,
69,"Hebrews 5:2",,,,,,,,
70,"Hebrews 5:3",,,,,,,,
71,"Hebrews 5:4",,,,,,,,
72,"Hebrews 5:5",,,,,,,,
73,"Hebrews 5:6",,,,,,,,
74,"Hebrews 5:7",,,,,,,,
75,"Hebrews 5:8",,,,,,,,
76,"Hebrews 5:9",,,,,,,,
77,"Hebrews 5:10",,,,,,,,
78,"Hebrews 5:11",,,,,,,,
79,"Hebrews 5:12",,,,,,,,
80,"Hebrews 5:13",,,,,,,,
81,"Hebrews 5:14",,,,,,,,
82,"Hebrews 6:1",,,,,,,,
83,"Hebrews 6:2",,,,,,,,
84,"Hebrews 6:3",,,,,,,,
85,"Hebrews 6:4",,,,,,,,
86,"Hebrews 6:5",,,,,,,,
87,"Hebrews 6:6",,,,,,,,
88,"Hebrews 6:7",,,,,,,,
89,"Hebrews 6:8",,,,,,,,
90,"Hebrews 6:9",,,,,,,,
91,"Hebrews 6:10",,,,,,,,
92,"Hebrews 6:11",,,,,,,,
93,"Hebrews 6:12",,,,,,,,
94,"Hebrews 6:13",,,,,,,,
95,"Hebrews 6:14",,,,,,,,
96,"Hebrews 6:15",,,,,,,,
97,"Hebrews 6:16",,,,,,,,
98,"Hebrews 6:17",,,,,,,,
99,"Hebrews 6:18",,,,,,,,
100,"Hebrews 6:19",,,,,,,,
101,"Hebrews 6:20",,,,,,,,
102,"Hebrews 7:1",,,,,,,,
103,"Hebrews 7:2",,,,,,,,
104,"Hebrews 7:3",,,,,,,,
105,"Hebrews 7:4",,,,,,,,
106,"Hebrews 7:5",,,,,,,,
107,"Hebrews 7:6",,,,,,,,
108,"Hebrews 7:7",,,,,,,,
109,"Hebrews 7:8",,,,,,,,
110,"Hebrews 7:9",,,,,,,,
111,"Hebrews 7:10",,,,,,,,
112,"Hebrews 7:11",,,,,,,,
113,"Hebrews 7:12",,,,,,,,
114,"Hebrews 7:13",,,,,,,,
115,"Hebrews 7:14",,,,,,,,
116,"Hebrews 7:15",,,,,,,,
117,"Hebrews 7:16",,,,,,,,
118,"Hebrews 7:17",,,,,,,,
119,"Hebrews 7:18",,,,,,,,
120,"Hebrews 7:19",,,,,,,,
121,"Hebrews 7:20",,,,,,,,
122,"Hebrews 7:21",,,,,,,,
123,"Hebrews 7:22",,,,,,,,
124,"Hebrews 7:23",,,,,,,,
125,"Hebrews 7:24",,,,,,,,
126,"Hebrews 7:25",,,,,,,,
127,"Hebrews 7:26",,,,,,,,
128,"Hebrews 7:27",,,,,,,,
129,"Hebrews 7:28",,,,,,,,
130,"Hebrews 8:1",,,,,,,,
131,"Hebrews 8:2",,,,,,,,
132,"Hebrews 8:3",,,,,,,,
133,"Hebrews 8:4",,,,,,,,
134,"Hebrews 8:5",,,,,,,,
135,"Hebrews 8:6",,,,,,,,
136,"Hebrews 8:7",,,,,,,,
137,"Hebrews 8:8",,,,,,,,
138,"Hebrews 8:9",,,,,,,,
139,"Hebrews 8:10",,,,,,,,
140,"Hebrews 8:11",,,,,,,,
141,"Hebrews 8:12",,,,,,,,
142,"Hebrews 8:13",,,,,,,,
143,"Hebrews 9:1",,,,,,,,
144,"Hebrews 9:2",,,,,,,,
145,"Hebrews 9:3",,,,,,,,
146,"Hebrews 9:4",,,,,,,,
147,"Hebrews 9:5",,,,,,,,
148,"Hebrews 9:6",,,,,,,,
149,"Hebrews 9:7",,,,,,,,
150,"Hebrews 9:8",,,,,,,,
151,"Hebrews 9:9",,,,,,,,
152,"Hebrews 9:10",,,,,,,,
153,"Hebrews 9:11",,,,,,,,
154,"Hebrews 9:12",,,,,,,,
155,"Hebrews 9:13",,,,,,,,
156,"Hebrews 9:14",,,,,,,,
157,"Hebrews 9:15",,,,,,,,
158,"Hebrews 9:16",,,,,,,,
159,"Hebrews 9:17",,,,,,,,
160,"Hebrews 9:18",,,,,,,,
161,"Hebrews 9:19",,,,,,,,
162,"Hebrews 9:20",,,,,,,,
163,"Hebrews 9:21",,,,,,,,
164,"Hebrews 9:22",,,,,,,,
165,"Hebrews 9:23",,,,,,,,
166,"Hebrews 9:24",,,,,,,,
167,"Hebrews 9:25",,,,,,,,
168,"Hebrews 9:26",,,,,,,,
169,"Hebrews 9:27",,,,,,,,
170,"Hebrews 9:28",,,,,,,,
171,"Hebrews 10:1",,,,,,,,
172,"Hebrews 10:2",,,,,,,,
173,"Hebrews 10:3",,,,,,,,
174,"Hebrews 10:4",,,,,,,,
175,"Hebrews 10:5",,,,,,,,
176,"Hebrews 10:6",,,,,,,,
177,"Hebrews 10:7",,,,,,,,
178,"Hebrews 10:8",,,,,,,,
179,"Hebrews 10:9",,,,,,,,
180,"Hebrews 10:10",,,,,,,,
181,"Hebrews 10:11",,,,,,,,
182,"Hebrews 10:12",,,,,,,,
183,"Hebrews 10:13",,,,,,,,
184,"Hebrews 10:14",,,,,,,,
185,"Hebrews 10:15",,,,,,,,
186,"Hebrews 10:16",,,,,,,,
187,"Hebrews 10:17",,,,,,,,
188,"Hebrews 10:18",,,,,,,,
189,"Hebrews 10:19",,,,,,,,
190,"Hebrews 10:20",,,,,,,,
191,"Hebrews 10:21",,,,,,,,
192,"Hebrews 10:22",,,,,,,,
193,"Hebrews 10:23",,,,,,,,
194,"Hebrews 10:24",,,,,,,,
195,"Hebrews 10:25",,,,,,,,
