ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Hosea 1:1","John did not read those books.",,,,"smell ",,,
2,"Hosea 1:2","John(I) saw the new king's big palace in Jerusalem.",,,,"John(I) saw the new king's big palace in Jerusalem. ",,,
3,"Hosea 1:3",,,,,,,,
4,"Hosea 1:4",,,,,,,,
5,"Hosea 1:5",,,,,,,,
6,"Hosea 1:6",,,,,,,,
7,"Hosea 1:7",,,,,,,,
8,"Hosea 1:8",,,,,,,,
9,"Hosea 1:9",,,,,,,,
10,"Hosea 1:10",,,,,,,,
11,"Hosea 1:11",,,,,,,,
12,"Hosea 2:1",,,,,,,,
13,"Hosea 2:2",,,,,,,,
14,"Hosea 2:3",,,,,,,,
15,"Hosea 2:4",,,,,,,,
16,"Hosea 2:5",,,,,,,,
17,"Hosea 2:6",,,,,,,,
18,"Hosea 2:7",,,,,,,,
19,"Hosea 2:8",,,,,,,,
20,"Hosea 2:9",,,,,,,,
21,"Hosea 2:10",,,,,,,,
22,"Hosea 2:11",,,,,,,,
23,"Hosea 2:12",,,,,,,,
24,"Hosea 2:13",,,,,,,,
25,"Hosea 2:14",,,,,,,,
26,"Hosea 2:15",,,,,,,,
27,"Hosea 2:16",,,,,,,,
28,"Hosea 2:17",,,,,,,,
29,"Hosea 2:18",,,,,,,,
30,"Hosea 2:19",,,,,,,,
31,"Hosea 2:20",,,,,,,,
32,"Hosea 2:21",,,,,,,,
33,"Hosea 2:22",,,,,,,,
34,"Hosea 2:23",,,,,,,,
35,"Hosea 3:1",,,,,,,,
36,"Hosea 3:2",,,,,,,,
37,"Hosea 3:3",,,,,,,,
38,"Hosea 3:4",,,,,,,,
39,"Hosea 3:5",,,,,,,,
40,"Hosea 4:1",,,,,,,,
41,"Hosea 4:2",,,,,,,,
42,"Hosea 4:3",,,,,,,,
43,"Hosea 4:4",,,,,,,,
44,"Hosea 4:5",,,,,,,,
45,"Hosea 4:6",,,,,,,,
46,"Hosea 4:7",,,,,,,,
47,"Hosea 4:8",,,,,,,,
48,"Hosea 4:9",,,,,,,,
49,"Hosea 4:10",,,,,,,,
50,"Hosea 4:11",,,,,,,,
51,"Hosea 4:12",,,,,,,,
52,"Hosea 4:13",,,,,,,,
53,"Hosea 4:14",,,,,,,,
54,"Hosea 4:15",,,,,,,,
55,"Hosea 4:16",,,,,,,,
56,"Hosea 4:17",,,,,,,,
57,"Hosea 4:18",,,,,,,,
58,"Hosea 4:19",,,,,,,,
59,"Hosea 5:1",,,,,,,,
60,"Hosea 5:2",,,,,,,,
61,"Hosea 5:3",,,,,,,,
62,"Hosea 5:4",,,,,,,,
63,"Hosea 5:5",,,,,,,,
64,"Hosea 5:6",,,,,,,,
65,"Hosea 5:7",,,,,,,,
66,"Hosea 5:8",,,,,,,,
67,"Hosea 5:9",,,,,,,,
68,"Hosea 5:10",,,,,,,,
69,"Hosea 5:11",,,,,,,,
70,"Hosea 5:12",,,,,,,,
71,"Hosea 5:13",,,,,,,,
72,"Hosea 5:14",,,,,,,,
73,"Hosea 5:15",,,,,,,,
74,"Hosea 6:1",,,,,,,,
75,"Hosea 6:2",,,,,,,,
76,"Hosea 6:3",,,,,,,,
77,"Hosea 6:4",,,,,,,,
78,"Hosea 6:5",,,,,,,,
79,"Hosea 6:6",,,,,,,,
80,"Hosea 6:7",,,,,,,,
81,"Hosea 6:8",,,,,,,,
82,"Hosea 6:9",,,,,,,,
83,"Hosea 6:10",,,,,,,,
84,"Hosea 6:11",,,,,,,,
85,"Hosea 7:1",,,,,,,,
86,"Hosea 7:2",,,,,,,,
87,"Hosea 7:3",,,,,,,,
88,"Hosea 7:4",,,,,,,,
89,"Hosea 7:5",,,,,,,,
90,"Hosea 7:6",,,,,,,,
91,"Hosea 7:7",,,,,,,,
92,"Hosea 7:8",,,,,,,,
93,"Hosea 7:9",,,,,,,,
94,"Hosea 7:10",,,,,,,,
95,"Hosea 7:11",,,,,,,,
96,"Hosea 7:12",,,,,,,,
97,"Hosea 7:13",,,,,,,,
98,"Hosea 7:14",,,,,,,,
99,"Hosea 7:15",,,,,,,,
100,"Hosea 7:16",,,,,,,,
101,"Hosea 8:1",,,,,,,,
102,"Hosea 8:2",,,,,,,,
103,"Hosea 8:3",,,,,,,,
104,"Hosea 8:4",,,,,,,,
105,"Hosea 8:5",,,,,,,,
106,"Hosea 8:6",,,,,,,,
107,"Hosea 8:7",,,,,,,,
108,"Hosea 8:8",,,,,,,,
109,"Hosea 8:9",,,,,,,,
110,"Hosea 8:10",,,,,,,,
111,"Hosea 8:11",,,,,,,,
112,"Hosea 8:12",,,,,,,,
113,"Hosea 8:13",,,,,,,,
114,"Hosea 8:14",,,,,,,,
115,"Hosea 9:1",,,,,,,,
116,"Hosea 9:2",,,,,,,,
117,"Hosea 9:3",,,,,,,,
118,"Hosea 9:4",,,,,,,,
119,"Hosea 9:5",,,,,,,,
120,"Hosea 9:6",,,,,,,,
121,"Hosea 9:7",,,,,,,,
122,"Hosea 9:8",,,,,,,,
123,"Hosea 9:9",,,,,,,,
124,"Hosea 9:10",,,,,,,,
125,"Hosea 9:11",,,,,,,,
126,"Hosea 9:12",,,,,,,,
127,"Hosea 9:13",,,,,,,,
128,"Hosea 9:14",,,,,,,,
129,"Hosea 9:15",,,,,,,,
130,"Hosea 9:16",,,,,,,,
131,"Hosea 9:17",,,,,,,,
132,"Hosea 10:1",,,,,,,,
133,"Hosea 10:2",,,,,,,,
134,"Hosea 10:3",,,,,,,,
135,"Hosea 10:4",,,,,,,,
136,"Hosea 10:5",,,,,,,,
137,"Hosea 10:6",,,,,,,,
138,"Hosea 10:7",,,,,,,,
139,"Hosea 10:8",,,,,,,,
140,"Hosea 10:9",,,,,,,,
141,"Hosea 10:10",,,,,,,,
142,"Hosea 10:11",,,,,,,,
143,"Hosea 10:12",,,,,,,,
144,"Hosea 10:13",,,,,,,,
145,"Hosea 10:14",,,,,,,,
146,"Hosea 10:15",,,,,,,,
147,"Hosea 11:1",,,,,,,,
148,"Hosea 11:2",,,,,,,,
149,"Hosea 11:3",,,,,,,,
150,"Hosea 11:4",,,,,,,,
151,"Hosea 11:5",,,,,,,,
152,"Hosea 11:6",,,,,,,,
153,"Hosea 11:7",,,,,,,,
154,"Hosea 11:8",,,,,,,,
155,"Hosea 11:9",,,,,,,,
156,"Hosea 11:10",,,,,,,,
157,"Hosea 11:11",,,,,,,,
158,"Hosea 11:12",,,,,,,,
159,"Hosea 12:1",,,,,,,,
160,"Hosea 12:2",,,,,,,,
161,"Hosea 12:3",,,,,,,,
