ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Isaiah 1:1",,,,,,,,
2,"Isaiah 1:2",,,,,,,,
3,"Isaiah 1:3",,,,,,,,
4,"Isaiah 1:4",,,,,,,,
5,"Isaiah 1:5",,,,,,,,
6,"Isaiah 1:6",,,,,,,,
7,"Isaiah 1:7",,,,,,,,
8,"Isaiah 1:8",,,,,,,,
9,"Isaiah 1:9",,,,,,,,
10,"Isaiah 1:10",,,,,,,,
11,"Isaiah 1:11",,,,,,,,
12,"Isaiah 1:12",,,,,,,,
13,"Isaiah 1:13",,,,,,,,
14,"Isaiah 1:14",,,,,,,,
15,"Isaiah 1:15",,,,,,,,
16,"Isaiah 1:16",,,,,,,,
17,"Isaiah 1:17",,,,,,,,
18,"Isaiah 1:18",,,,,,,,
19,"Isaiah 1:19",,,,,,,,
20,"Isaiah 1:20",,,,,,,,
21,"Isaiah 1:21",,,,,,,,
22,"Isaiah 1:22",,,,,,,,
23,"Isaiah 1:23",,,,,,,,
24,"Isaiah 1:24",,,,,,,,
25,"Isaiah 1:25",,,,,,,,
26,"Isaiah 1:26",,,,,,,,
27,"Isaiah 1:27",,,,,,,,
28,"Isaiah 1:28",,,,,,,,
29,"Isaiah 1:29",,,,,,,,
30,"Isaiah 1:30",,,,,,,,
31,"Isaiah 1:31",,,,,,,,
32,"Isaiah 2:1",,,,,,,,
33,"Isaiah 2:2",,,,,,,,
34,"Isaiah 2:3",,,,,,,,
35,"Isaiah 2:4",,,,,,,,
36,"Isaiah 2:5",,,,,,,,
37,"Isaiah 2:6",,,,,,,,
38,"Isaiah 2:7",,,,,,,,
39,"Isaiah 2:8",,,,,,,,
40,"Isaiah 2:9",,,,,,,,
41,"Isaiah 2:10",,,,,,,,
42,"Isaiah 2:11",,,,,,,,
43,"Isaiah 2:12",,,,,,,,
44,"Isaiah 2:13",,,,,,,,
45,"Isaiah 2:14",,,,,,,,
46,"Isaiah 2:15",,,,,,,,
47,"Isaiah 2:16",,,,,,,,
