ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"James 1:1",,,,,,,,
2,"James 1:2",,,,,,,,
3,"James 1:3",,,,,,,,
4,"James 1:4",,,,,,,,
5,"James 1:5",,,,,,,,
6,"James 1:6",,,,,,,,
7,"James 1:7",,,,,,,,
8,"James 1:8",,,,,,,,
9,"James 1:9",,,,,,,,
10,"James 1:10",,,,,,,,
11,"James 1:11",,,,,,,,
12,"James 1:12",,,,,,,,
13,"James 1:13",,,,,,,,
14,"James 1:14",,,,,,,,
15,"James 1:15",,,,,,,,
16,"James 1:16",,,,,,,,
17,"James 1:17",,,,,,,,
18,"James 1:18",,,,,,,,
19,"James 1:19",,,,,,,,
20,"James 1:20",,,,,,,,
21,"James 1:21",,,,,,,,
22,"James 1:22",,,,,,,,
23,"James 1:23",,,,,,,,
24,"James 1:24",,,,,,,,
25,"James 1:25",,,,,,,,
26,"James 1:26",,,,,,,,
27,"James 1:27",,,,,,,,
28,"James 2:1",,,,,,,,
29,"James 2:2",,,,,,,,
30,"James 2:3",,,,,,,,
31,"James 2:4",,,,,,,,
32,"James 2:5",,,,,,,,
33,"James 2:6",,,,,,,,
34,"James 2:7",,,,,,,,
35,"James 2:8",,,,,,,,
36,"James 2:9",,,,,,,,
37,"James 2:10",,,,,,,,
38,"James 2:11",,,,,,,,
39,"James 2:12",,,,,,,,
40,"James 2:13",,,,,,,,
41,"James 2:14",,,,,,,,
42,"James 2:15",,,,,,,,
43,"James 2:16",,,,,,,,
44,"James 2:17",,,,,,,,
45,"James 2:18",,,,,,,,
46,"James 2:19",,,,,,,,
47,"James 2:20",,,,,,,,
48,"James 2:21",,,,,,,,
49,"James 2:22",,,,,,,,
50,"James 2:23",,,,,,,,
51,"James 2:24",,,,,,,,
52,"James 2:25",,,,,,,,
53,"James 2:26",,,,,,,,
54,"James 3:1",,,,,,,,
55,"James 3:2",,,,,,,,
56,"James 3:3",,,,,,,,
57,"James 3:4",,,,,,,,
58,"James 3:5",,,,,,,,
59,"James 3:6",,,,,,,,
60,"James 3:7",,,,,,,,
61,"James 3:8",,,,,,,,
62,"James 3:9",,,,,,,,
63,"James 3:10",,,,,,,,
64,"James 3:11",,,,,,,,
65,"James 3:12",,,,,,,,
66,"James 3:13",,,,,,,,
67,"James 3:14",,,,,,,,
68,"James 3:15",,,,,,,,
69,"James 3:16",,,,,,,,
70,"James 3:17",,,,,,,,
71,"James 3:18",,,,,,,,
72,"James 4:1",,,,,,,,
73,"James 4:2",,,,,,,,
74,"James 4:3",,,,,,,,
75,"James 4:4",,,,,,,,
76,"James 4:5",,,,,,,,
77,"James 4:6",,,,,,,,
78,"James 4:7",,,,,,,,
79,"James 4:8",,,,,,,,
80,"James 4:9",,,,,,,,
81,"James 4:10",,,,,,,,
82,"James 4:11",,,,,,,,
83,"James 4:12",,,,,,,,
84,"James 4:13",,,,,,,,
85,"James 4:14",,,,,,,,
86,"James 4:15",,,,,,,,
87,"James 4:16",,,,,,,,
88,"James 4:17",,,,,,,,
89,"James 5:1",,,,,,,,
90,"James 5:2",,,,,,,,
91,"James 5:3",,,,,,,,
92,"James 5:4",,,,,,,,
93,"James 5:5",,,,,,,,
94,"James 5:6",,,,,,,,
95,"James 5:7",,,,,,,,
96,"James 5:8",,,,,,,,
97,"James 5:9",,,,,,,,
98,"James 5:10",,,,,,,,
99,"James 5:11",,,,,,,,
100,"James 5:12",,,,,,,,
101,"James 5:13",,,,,,,,
102,"James 5:14",,,,,,,,
103,"James 5:15",,,,,,,,
104,"James 5:16",,,,,,,,
105,"James 5:17",,,,,,,,
106,"James 5:18",,,,,,,,
107,"James 5:19",,,,,,,,
108,"James 5:20",,,,,,,,
