ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Jeremiah 1:1",,,,,,,,
2,"Jeremiah 1:2",,,,,,,,
3,"Jeremiah 1:3",,,,,,,,
4,"Jeremiah 1:4",,,,,,,,
5,"Jeremiah 1:5",,,,,,,,
6,"Jeremiah 1:6",,,,,,,,
7,"Jeremiah 1:7",,,,,,,,
8,"Jeremiah 1:8",,,,,,,,
9,"Jeremiah 1:9",,,,,,,,
10,"Jeremiah 1:10",,,,,,,,
11,"Jeremiah 1:11",,,,,,,,
12,"Jeremiah 1:12",,,,,,,,
13,"Jeremiah 1:13",,,,,,,,
14,"Jeremiah 1:14",,,,,,,,
15,"Jeremiah 1:15",,,,,,,,
16,"Jeremiah 1:16",,,,,,,,
17,"Jeremiah 1:17",,,,,,,,
18,"Jeremiah 1:18",,,,,,,,
19,"Jeremiah 1:19",,,,,,,,
20,"Jeremiah 2:1",,,,,,,,
21,"Jeremiah 2:2",,,,,,,,
22,"Jeremiah 2:3",,,,,,,,
23,"Jeremiah 2:4",,,,,,,,
24,"Jeremiah 2:5",,,,,,,,
25,"Jeremiah 2:6",,,,,,,,
26,"Jeremiah 2:7",,,,,,,,
27,"Jeremiah 2:8",,,,,,,,
28,"Jeremiah 2:9",,,,,,,,
29,"Jeremiah 2:10",,,,,,,,
30,"Jeremiah 2:11",,,,,,,,
31,"Jeremiah 2:12",,,,,,,,
32,"Jeremiah 2:13",,,,,,,,
33,"Jeremiah 2:14",,,,,,,,
34,"Jeremiah 2:15",,,,,,,,
35,"Jeremiah 2:16",,,,,,,,
36,"Jeremiah 2:17",,,,,,,,
37,"Jeremiah 2:18",,,,,,,,
38,"Jeremiah 2:19",,,,,,,,
39,"Jeremiah 2:20",,,,,,,,
40,"Jeremiah 2:21",,,,,,,,
41,"Jeremiah 2:22",,,,,,,,
42,"Jeremiah 2:23",,,,,,,,
43,"Jeremiah 2:24",,,,,,,,
44,"Jeremiah 2:25",,,,,,,,
45,"Jeremiah 2:26",,,,,,,,
46,"Jeremiah 2:27",,,,,,,,
47,"Jeremiah 2:28",,,,,,,,
48,"Jeremiah 2:29",,,,,,,,
49,"Jeremiah 2:30",,,,,,,,
50,"Jeremiah 2:31",,,,,,,,
51,"Jeremiah 2:32",,,,,,,,
52,"Jeremiah 2:33",,,,,,,,
53,"Jeremiah 2:34",,,,,,,,
54,"Jeremiah 2:35",,,,,,,,
55,"Jeremiah 2:36",,,,,,,,
56,"Jeremiah 2:37",,,,,,,,
57,"Jeremiah 3:1",,,,,,,,
58,"Jeremiah 3:2",,,,,,,,
59,"Jeremiah 3:3",,,,,,,,
60,"Jeremiah 3:4",,,,,,,,
61,"Jeremiah 3:5",,,,,,,,
62,"Jeremiah 3:6",,,,,,,,
63,"Jeremiah 3:7",,,,,,,,
64,"Jeremiah 3:8",,,,,,,,
65,"Jeremiah 3:9",,,,,,,,
66,"Jeremiah 3:10",,,,,,,,
67,"Jeremiah 3:11",,,,,,,,
68,"Jeremiah 3:12",,,,,,,,
69,"Jeremiah 3:13",,,,,,,,
70,"Jeremiah 3:14",,,,,,,,
71,"Jeremiah 3:15",,,,,,,,
72,"Jeremiah 3:16",,,,,,,,
73,"Jeremiah 3:17",,,,,,,,
74,"Jeremiah 3:18",,,,,,,,
75,"Jeremiah 3:19",,,,,,,,
76,"Jeremiah 3:20",,,,,,,,
77,"Jeremiah 3:21",,,,,,,,
78,"Jeremiah 3:22",,,,,,,,
79,"Jeremiah 3:23",,,,,,,,
80,"Jeremiah 3:24",,,,,,,,
81,"Jeremiah 3:25",,,,,,,,
82,"Jeremiah 4:1",,,,,,,,
83,"Jeremiah 4:2",,,,,,,,
