ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Job 1:1",,,,,,,,
2,"Job 1:2",,,,,,,,
3,"Job 1:3",,,,,,,,
4,"Job 1:4",,,,,,,,
5,"Job 1:5",,,,,,,,
6,"Job 1:6",,,,,,,,
7,"Job 1:7",,,,,,,,
8,"Job 1:8",,,,,,,,
9,"Job 1:9",,,,,,,,
10,"Job 1:10",,,,,,,,
11,"Job 1:11",,,,,,,,
12,"Job 1:12",,,,,,,,
13,"Job 1:13",,,,,,,,
14,"Job 1:14",,,,,,,,
15,"Job 1:15",,,,,,,,
16,"Job 1:16",,,,,,,,
17,"Job 1:17",,,,,,,,
18,"Job 1:18",,,,,,,,
19,"Job 1:19",,,,,,,,
20,"Job 1:20",,,,,,,,
21,"Job 1:21",,,,,,,,
22,"Job 1:22",,,,,,,,
23,"Job 2:1",,,,,,,,
24,"Job 2:2",,,,,,,,
25,"Job 2:3",,,,,,,,
26,"Job 2:4",,,,,,,,
27,"Job 2:5",,,,,,,,
28,"Job 2:6",,,,,,,,
29,"Job 2:7",,,,,,,,
30,"Job 2:8",,,,,,,,
31,"Job 2:9",,,,,,,,
32,"Job 2:10",,,,,,,,
33,"Job 2:11",,,,,,,,
34,"Job 2:12",,,,,,,,
35,"Job 2:13",,,,,,,,
36,"Job 3:1",,,,,,,,
37,"Job 3:2",,,,,,,,
38,"Job 3:3",,,,,,,,
39,"Job 3:4",,,,,,,,
40,"Job 3:5",,,,,,,,
41,"Job 3:6",,,,,,,,
42,"Job 3:7",,,,,,,,
43,"Job 3:8",,,,,,,,
44,"Job 3:9",,,,,,,,
45,"Job 3:10",,,,,,,,
46,"Job 3:11",,,,,,,,
47,"Job 3:12",,,,,,,,
48,"Job 3:13",,,,,,,,
49,"Job 3:14",,,,,,,,
50,"Job 3:15",,,,,,,,
51,"Job 3:16",,,,,,,,
52,"Job 3:17",,,,,,,,
53,"Job 3:18",,,,,,,,
54,"Job 3:19",,,,,,,,
55,"Job 3:20",,,,,,,,
56,"Job 3:21",,,,,,,,
57,"Job 3:22",,,,,,,,
58,"Job 3:23",,,,,,,,
59,"Job 3:24",,,,,,,,
60,"Job 3:25",,,,,,,,
61,"Job 3:26",,,,,,,,
62,"Job 4:1",,,,,,,,
63,"Job 4:2",,,,,,,,
64,"Job 4:3",,,,,,,,
65,"Job 4:4",,,,,,,,
66,"Job 4:5",,,,,,,,
67,"Job 4:6",,,,,,,,
68,"Job 4:7",,,,,,,,
69,"Job 4:8",,,,,,,,
70,"Job 4:9",,,,,,,,
71,"Job 4:10",,,,,,,,
72,"Job 4:11",,,,,,,,
73,"Job 4:12",,,,,,,,
74,"Job 4:13",,,,,,,,
75,"Job 4:14",,,,,,,,
