ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Jude 1:1",,,,,,,,
2,"Jude 1:2",,,,,,,,
3,"Jude 1:3",,,,,,,,
4,"Jude 1:4",,,,,,,,
5,"Jude 1:5",,,,,,,,
6,"Jude 1:6",,,,,,,,
7,"Jude 1:7",,,,,,,,
8,"Jude 1:8",,,,,,,,
9,"Jude 1:9",,,,,,,,
10,"Jude 1:10",,,,,,,,
11,"Jude 1:11",,,,,,,,
12,"Jude 1:12",,,,,,,,
13,"Jude 1:13",,,,,,,,
14,"Jude 1:14",,,,,,,,
15,"Jude 1:15",,,,,,,,
16,"Jude 1:16",,,,,,,,
17,"Jude 1:17",,,,,,,,
18,"Jude 1:18",,,,,,,,
19,"Jude 1:19",,,,,,,,
20,"Jude 1:20",,,,,,,,
21,"Jude 1:21",,,,,,,,
22,"Jude 1:22",,,,,,,,
23,"Jude 1:23",,,,,,,,
24,"Jude 1:24",,,,,,,,
25,"Jude 1:25",,,,,,,,
