ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Lamentations 1:1",,,,,,,,
2,"Lamentations 1:2",,,,,,,,
3,"Lamentations 1:3",,,,,,,,
4,"Lamentations 1:4",,,,,,,,
5,"Lamentations 1:5",,,,,,,,
6,"Lamentations 1:6",,,,,,,,
7,"Lamentations 1:7",,,,,,,,
8,"Lamentations 1:8",,,,,,,,
9,"Lamentations 1:9",,,,,,,,
10,"Lamentations 1:10",,,,,,,,
11,"Lamentations 1:11",,,,,,,,
12,"Lamentations 1:12",,,,,,,,
13,"Lamentations 1:13",,,,,,,,
14,"Lamentations 1:14",,,,,,,,
15,"Lamentations 1:15",,,,,,,,
16,"Lamentations 1:16",,,,,,,,
17,"Lamentations 1:17",,,,,,,,
18,"Lamentations 1:18",,,,,,,,
19,"Lamentations 1:19",,,,,,,,
20,"Lamentations 1:20",,,,,,,,
21,"Lamentations 1:21",,,,,,,,
22,"Lamentations 1:22",,,,,,,,
23,"Lamentations 2:1",,,,,,,,
24,"Lamentations 2:2",,,,,,,,
25,"Lamentations 2:3",,,,,,,,
26,"Lamentations 2:4",,,,,,,,
27,"Lamentations 2:5",,,,,,,,
28,"Lamentations 2:6",,,,,,,,
29,"Lamentations 2:7",,,,,,,,
30,"Lamentations 2:8",,,,,,,,
31,"Lamentations 2:9",,,,,,,,
32,"Lamentations 2:10",,,,,,,,
33,"Lamentations 2:11",,,,,,,,
34,"Lamentations 2:12",,,,,,,,
35,"Lamentations 2:13",,,,,,,,
36,"Lamentations 2:14",,,,,,,,
37,"Lamentations 2:15",,,,,,,,
38,"Lamentations 2:16",,,,,,,,
39,"Lamentations 2:17",,,,,,,,
40,"Lamentations 2:18",,,,,,,,
41,"Lamentations 2:19",,,,,,,,
42,"Lamentations 2:20",,,,,,,,
43,"Lamentations 2:21",,,,,,,,
44,"Lamentations 2:22",,,,,,,,
45,"Lamentations 3:1",,,,,,,,
46,"Lamentations 3:2",,,,,,,,
47,"Lamentations 3:3",,,,,,,,
48,"Lamentations 3:4",,,,,,,,
49,"Lamentations 3:5",,,,,,,,
50,"Lamentations 3:6",,,,,,,,
