ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Leviticus 1:1",,,,,,,,
2,"Leviticus 1:2",,,,,,,,
3,"Leviticus 1:3",,,,,,,,
4,"Leviticus 1:4",,,,,,,,
5,"Leviticus 1:5",,,,,,,,
6,"Leviticus 1:6",,,,,,,,
7,"Leviticus 1:7",,,,,,,,
8,"Leviticus 1:8",,,,,,,,
9,"Leviticus 1:9",,,,,,,,
10,"Leviticus 1:10",,,,,,,,
11,"Leviticus 1:11",,,,,,,,
12,"Leviticus 1:12",,,,,,,,
13,"Leviticus 1:13",,,,,,,,
14,"Leviticus 1:14",,,,,,,,
15,"Leviticus 1:15",,,,,,,,
16,"Leviticus 1:16",,,,,,,,
17,"Leviticus 1:17",,,,,,,,
18,"Leviticus 2:1",,,,,,,,
19,"Leviticus 2:2",,,,,,,,
20,"Leviticus 2:3",,,,,,,,
21,"Leviticus 2:4",,,,,,,,
22,"Leviticus 2:5",,,,,,,,
23,"Leviticus 2:6",,,,,,,,
24,"Leviticus 2:7",,,,,,,,
25,"Leviticus 2:8",,,,,,,,
26,"Leviticus 2:9",,,,,,,,
27,"Leviticus 2:10",,,,,,,,
28,"Leviticus 2:11",,,,,,,,
29,"Leviticus 2:12",,,,,,,,
30,"Leviticus 2:13",,,,,,,,
31,"Leviticus 2:14",,,,,,,,
32,"Leviticus 2:15",,,,,,,,
33,"Leviticus 2:16",,,,,,,,
34,"Leviticus 3:1",,,,,,,,
35,"Leviticus 3:2",,,,,,,,
36,"Leviticus 3:3",,,,,,,,
37,"Leviticus 3:4",,,,,,,,
38,"Leviticus 3:5",,,,,,,,
39,"Leviticus 3:6",,,,,,,,
40,"Leviticus 3:7",,,,,,,,
41,"Leviticus 3:8",,,,,,,,
42,"Leviticus 3:9",,,,,,,,
43,"Leviticus 3:10",,,,,,,,
44,"Leviticus 3:11",,,,,,,,
45,"Leviticus 3:12",,,,,,,,
46,"Leviticus 3:13",,,,,,,,
47,"Leviticus 3:14",,,,,,,,
48,"Leviticus 3:15",,,,,,,,
49,"Leviticus 3:16",,,,,,,,
50,"Leviticus 3:17",,,,,,,,
51,"Leviticus 4:1",,,,,,,,
52,"Leviticus 4:2",,,,,,,,
53,"Leviticus 4:3",,,,,,,,
54,"Leviticus 4:4",,,,,,,,
55,"Leviticus 4:5",,,,,,,,
56,"Leviticus 4:6",,,,,,,,
57,"Leviticus 4:7",,,,,,,,
58,"Leviticus 4:8",,,,,,,,
59,"Leviticus 4:9",,,,,,,,
60,"Leviticus 4:10",,,,,,,,
61,"Leviticus 4:11",,,,,,,,
62,"Leviticus 4:12",,,,,,,,
63,"Leviticus 4:13",,,,,,,,
64,"Leviticus 4:14",,,,,,,,
65,"Leviticus 4:15",,,,,,,,
66,"Leviticus 4:16",,,,,,,,
67,"Leviticus 4:17",,,,,,,,
68,"Leviticus 4:18",,,,,,,,
69,"Leviticus 4:19",,,,,,,,
70,"Leviticus 4:20",,,,,,,,
71,"Leviticus 4:21",,,,,,,,
72,"Leviticus 4:22",,,,,,,,
73,"Leviticus 4:23",,,,,,,,
74,"Leviticus 4:24",,,,,,,,
75,"Leviticus 4:25",,,,,,,,
76,"Leviticus 4:26",,,,,,,,
77,"Leviticus 4:27",,,,,,,,
78,"Leviticus 4:28",,,,,,,,
79,"Leviticus 4:29",,,,,,,,
80,"Leviticus 4:30",,,,,,,,
81,"Leviticus 4:31",,,,,,,,
82,"Leviticus 4:32",,,,,,,,
83,"Leviticus 4:33",,,,,,,,
84,"Leviticus 4:34",,,,,,,,
85,"Leviticus 4:35",,,,,,,,
86,"Leviticus 5:1",,,,,,,,
87,"Leviticus 5:2",,,,,,,,
88,"Leviticus 5:3",,,,,,,,
89,"Leviticus 5:4",,,,,,,,
90,"Leviticus 5:5",,,,,,,,
91,"Leviticus 5:6",,,,,,,,
92,"Leviticus 5:7",,,,,,,,
93,"Leviticus 5:8",,,,,,,,
94,"Leviticus 5:9",,,,,,,,
95,"Leviticus 5:10",,,,,,,,
96,"Leviticus 5:11",,,,,,,,
97,"Leviticus 5:12",,,,,,,,
98,"Leviticus 5:13",,,,,,,,
99,"Leviticus 5:14",,,,,,,,
100,"Leviticus 5:15",,,,,,,,
101,"Leviticus 5:16",,,,,,,,
102,"Leviticus 5:17",,,,,,,,
103,"Leviticus 5:18",,,,,,,,
104,"Leviticus 5:19",,,,,,,,
105,"Leviticus 6:1",,,,,,,,
106,"Leviticus 6:2",,,,,,,,
107,"Leviticus 6:3",,,,,,,,
108,"Leviticus 6:4",,,,,,,,
109,"Leviticus 6:5",,,,,,,,
110,"Leviticus 6:6",,,,,,,,
111,"Leviticus 6:7",,,,,,,,
112,"Leviticus 6:8",,,,,,,,
113,"Leviticus 6:9",,,,,,,,
114,"Leviticus 6:10",,,,,,,,
115,"Leviticus 6:11",,,,,,,,
116,"Leviticus 6:12",,,,,,,,
117,"Leviticus 6:13",,,,,,,,
118,"Leviticus 6:14",,,,,,,,
119,"Leviticus 6:15",,,,,,,,
120,"Leviticus 6:16",,,,,,,,
121,"Leviticus 6:17",,,,,,,,
122,"Leviticus 6:18",,,,,,,,
123,"Leviticus 6:19",,,,,,,,
124,"Leviticus 6:20",,,,,,,,
125,"Leviticus 6:21",,,,,,,,
126,"Leviticus 6:22",,,,,,,,
127,"Leviticus 6:23",,,,,,,,
128,"Leviticus 6:24",,,,,,,,
129,"Leviticus 6:25",,,,,,,,
130,"Leviticus 6:26",,,,,,,,
131,"Leviticus 6:27",,,,,,,,
132,"Leviticus 6:28",,,,,,,,
133,"Leviticus 6:29",,,,,,,,
134,"Leviticus 6:30",,,,,,,,
135,"Leviticus 7:1",,,,,,,,
136,"Leviticus 7:2",,,,,,,,
137,"Leviticus 7:3",,,,,,,,
138,"Leviticus 7:4",,,,,,,,
139,"Leviticus 7:5",,,,,,,,
140,"Leviticus 7:6",,,,,,,,
141,"Leviticus 7:7",,,,,,,,
142,"Leviticus 7:8",,,,,,,,
143,"Leviticus 7:9",,,,,,,,
144,"Leviticus 7:10",,,,,,,,
145,"Leviticus 7:11",,,,,,,,
146,"Leviticus 7:12",,,,,,,,
147,"Leviticus 7:13",,,,,,,,
148,"Leviticus 7:14",,,,,,,,
149,"Leviticus 7:15",,,,,,,,
150,"Leviticus 7:16",,,,,,,,
151,"Leviticus 7:17",,,,,,,,
152,"Leviticus 7:18",,,,,,,,
153,"Leviticus 7:19",,,,,,,,
154,"Leviticus 7:20",,,,,,,,
155,"Leviticus 7:21",,,,,,,,
156,"Leviticus 7:22",,,,,,,,
157,"Leviticus 7:23",,,,,,,,
158,"Leviticus 7:24",,,,,,,,
159,"Leviticus 7:25",,,,,,,,
160,"Leviticus 7:26",,,,,,,,
161,"Leviticus 7:27",,,,,,,,
162,"Leviticus 7:28",,,,,,,,
163,"Leviticus 7:29",,,,,,,,
164,"Leviticus 7:30",,,,,,,,
165,"Leviticus 7:31",,,,,,,,
166,"Leviticus 7:32",,,,,,,,
167,"Leviticus 7:33",,,,,,,,
168,"Leviticus 7:34",,,,,,,,
169,"Leviticus 7:35",,,,,,,,
170,"Leviticus 7:36",,,,,,,,
171,"Leviticus 7:37",,,,,,,,
172,"Leviticus 7:38",,,,,,,,
173,"Leviticus 8:1",,,,,,,,
174,"Leviticus 8:2",,,,,,,,
175,"Leviticus 8:3",,,,,,,,
176,"Leviticus 8:4",,,,,,,,
177,"Leviticus 8:5",,,,,,,,
178,"Leviticus 8:6",,,,,,,,
179,"Leviticus 8:7",,,,,,,,
180,"Leviticus 8:8",,,,,,,,
181,"Leviticus 8:9",,,,,,,,
182,"Leviticus 8:10",,,,,,,,
183,"Leviticus 8:11",,,,,,,,
184,"Leviticus 8:12",,,,,,,,
185,"Leviticus 8:13",,,,,,,,
186,"Leviticus 8:14",,,,,,,,
187,"Leviticus 8:15",,,,,,,,
188,"Leviticus 8:16",,,,,,,,
189,"Leviticus 8:17",,,,,,,,
190,"Leviticus 8:18",,,,,,,,
191,"Leviticus 8:19",,,,,,,,
192,"Leviticus 8:20",,,,,,,,
193,"Leviticus 8:21",,,,,,,,
194,"Leviticus 8:22",,,,,,,,
195,"Leviticus 8:23",,,,,,,,
196,"Leviticus 8:24",,,,,,,,
197,"Leviticus 8:25",,,,,,,,
198,"Leviticus 8:26",,,,,,,,
199,"Leviticus 8:27",,,,,,,,
200,"Leviticus 8:28",,,,,,,,
201,"Leviticus 8:29",,,,,,,,
202,"Leviticus 8:30",,,,,,,,
203,"Leviticus 8:31",,,,,,,,
204,"Leviticus 8:32",,,,,,,,
205,"Leviticus 8:33",,,,,,,,
206,"Leviticus 8:34",,,,,,,,
207,"Leviticus 8:35",,,,,,,,
208,"Leviticus 8:36",,,,,,,,
209,"Leviticus 9:1",,,,,,,,
210,"Leviticus 9:2",,,,,,,,
211,"Leviticus 9:3",,,,,,,,
212,"Leviticus 9:4",,,,,,,,
213,"Leviticus 9:5",,,,,,,,
214,"Leviticus 9:6",,,,,,,,
215,"Leviticus 9:7",,,,,,,,
216,"Leviticus 9:8",,,,,,,,
217,"Leviticus 9:9",,,,,,,,
218,"Leviticus 9:10",,,,,,,,
219,"Leviticus 9:11",,,,,,,,
220,"Leviticus 9:12",,,,,,,,
221,"Leviticus 9:13",,,,,,,,
222,"Leviticus 9:14",,,,,,,,
223,"Leviticus 9:15",,,,,,,,
224,"Leviticus 9:16",,,,,,,,
225,"Leviticus 9:17",,,,,,,,
226,"Leviticus 9:18",,,,,,,,
227,"Leviticus 9:19",,,,,,,,
228,"Leviticus 9:20",,,,,,,,
229,"Leviticus 9:21",,,,,,,,
230,"Leviticus 9:22",,,,,,,,
231,"Leviticus 9:23",,,,,,,,
232,"Leviticus 9:24",,,,,,,,
233,"Leviticus 10:1",,,,,,,,
234,"Leviticus 10:2",,,,,,,,
235,"Leviticus 10:3",,,,,,,,
236,"Leviticus 10:4",,,,,,,,
237,"Leviticus 10:5",,,,,,,,
238,"Leviticus 10:6",,,,,,,,
239,"Leviticus 10:7",,,,,,,,
240,"Leviticus 10:8",,,,,,,,
241,"Leviticus 10:9",,,,,,,,
242,"Leviticus 10:10",,,,,,,,
243,"Leviticus 10:11",,,,,,,,
244,"Leviticus 10:12",,,,,,,,
245,"Leviticus 10:13",,,,,,,,
246,"Leviticus 10:14",,,,,,,,
247,"Leviticus 10:15",,,,,,,,
248,"Leviticus 10:16",,,,,,,,
249,"Leviticus 10:17",,,,,,,,
250,"Leviticus 10:18",,,,,,,,
251,"Leviticus 10:19",,,,,,,,
252,"Leviticus 10:20",,,,,,,,
253,"Leviticus 11:1",,,,,,,,
254,"Leviticus 11:2",,,,,,,,
255,"Leviticus 11:3",,,,,,,,
256,"Leviticus 11:4",,,,,,,,
257,"Leviticus 11:5",,,,,,,,
258,"Leviticus 11:6",,,,,,,,
259,"Leviticus 11:7",,,,,,,,
260,"Leviticus 11:8",,,,,,,,
261,"Leviticus 11:9",,,,,,,,
262,"Leviticus 11:10",,,,,,,,
263,"Leviticus 11:11",,,,,,,,
264,"Leviticus 11:12",,,,,,,,
265,"Leviticus 11:13",,,,,,,,
266,"Leviticus 11:14",,,,,,,,
267,"Leviticus 11:15",,,,,,,,
268,"Leviticus 11:16",,,,,,,,
269,"Leviticus 11:17",,,,,,,,
270,"Leviticus 11:18",,,,,,,,
271,"Leviticus 11:19",,,,,,,,
272,"Leviticus 11:20",,,,,,,,
273,"Leviticus 11:21",,,,,,,,
274,"Leviticus 11:22",,,,,,,,
275,"Leviticus 11:23",,,,,,,,
276,"Leviticus 11:24",,,,,,,,
277,"Leviticus 11:25",,,,,,,,
278,"Leviticus 11:26",,,,,,,,
279,"Leviticus 11:27",,,,,,,,
280,"Leviticus 11:28",,,,,,,,
281,"Leviticus 11:29",,,,,,,,
282,"Leviticus 11:30",,,,,,,,
283,"Leviticus 11:31",,,,,,,,
284,"Leviticus 11:32",,,,,,,,
285,"Leviticus 11:33",,,,,,,,
286,"Leviticus 11:34",,,,,,,,
287,"Leviticus 11:35",,,,,,,,
288,"Leviticus 11:36",,,,,,,,
289,"Leviticus 11:37",,,,,,,,
290,"Leviticus 11:38",,,,,,,,
291,"Leviticus 11:39",,,,,,,,
292,"Leviticus 11:40",,,,,,,,
293,"Leviticus 11:41",,,,,,,,
294,"Leviticus 11:42",,,,,,,,
295,"Leviticus 11:43",,,,,,,,
296,"Leviticus 11:44",,,,,,,,
297,"Leviticus 11:45",,,,,,,,
298,"Leviticus 11:46",,,,,,,,
299,"Leviticus 11:47",,,,,,,,
300,"Leviticus 12:1",,,,,,,,
301,"Leviticus 12:2",,,,,,,,
302,"Leviticus 12:3",,,,,,,,
303,"Leviticus 12:4",,,,,,,,
