ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Micah 1:1",,,,,,,,
2,"Micah 1:2",,,,,,,,
3,"Micah 1:3",,,,,,,,
4,"Micah 1:4",,,,,,,,
5,"Micah 1:5",,,,,,,,
6,"Micah 1:6",,,,,,,,
7,"Micah 1:7",,,,,,,,
8,"Micah 1:8",,,,,,,,
9,"Micah 1:9",,,,,,,,
10,"Micah 1:10",,,,,,,,
11,"Micah 1:11",,,,,,,,
12,"Micah 1:12",,,,,,,,
13,"Micah 1:13",,,,,,,,
14,"Micah 1:14",,,,,,,,
15,"Micah 1:15",,,,,,,,
16,"Micah 1:16",,,,,,,,
17,"Micah 2:1",,,,,,,,
18,"Micah 2:2",,,,,,,,
19,"Micah 2:3",,,,,,,,
20,"Micah 2:4",,,,,,,,
21,"Micah 2:5",,,,,,,,
22,"Micah 2:6",,,,,,,,
23,"Micah 2:7",,,,,,,,
24,"Micah 2:8",,,,,,,,
25,"Micah 2:9",,,,,,,,
26,"Micah 2:10",,,,,,,,
27,"Micah 2:11",,,,,,,,
28,"Micah 2:12",,,,,,,,
29,"Micah 2:13",,,,,,,,
30,"Micah 3:1",,,,,,,,
31,"Micah 3:2",,,,,,,,
32,"Micah 3:3",,,,,,,,
33,"Micah 3:4",,,,,,,,
34,"Micah 3:5",,,,,,,,
35,"Micah 3:6",,,,,,,,
36,"Micah 3:7",,,,,,,,
37,"Micah 3:8",,,,,,,,
38,"Micah 3:9",,,,,,,,
39,"Micah 3:10",,,,,,,,
40,"Micah 3:11",,,,,,,,
41,"Micah 3:12",,,,,,,,
42,"Micah 4:1",,,,,,,,
43,"Micah 4:2",,,,,,,,
44,"Micah 4:3",,,,,,,,
45,"Micah 4:4",,,,,,,,
46,"Micah 4:5",,,,,,,,
47,"Micah 4:6",,,,,,,,
48,"Micah 4:7",,,,,,,,
49,"Micah 4:8",,,,,,,,
50,"Micah 4:9",,,,,,,,
51,"Micah 4:10",,,,,,,,
52,"Micah 4:11",,,,,,,,
53,"Micah 4:12",,,,,,,,
54,"Micah 4:13",,,,,,,,
55,"Micah 5:1",,,,,,,,
56,"Micah 5:2",,,,,,,,
57,"Micah 5:3",,,,,,,,
58,"Micah 5:4",,,,,,,,
59,"Micah 5:5",,,,,,,,
60,"Micah 5:6",,,,,,,,
61,"Micah 5:7",,,,,,,,
62,"Micah 5:8",,,,,,,,
63,"Micah 5:9",,,,,,,,
64,"Micah 5:10",,,,,,,,
65,"Micah 5:11",,,,,,,,
66,"Micah 5:12",,,,,,,,
67,"Micah 5:13",,,,,,,,
68,"Micah 5:14",,,,,,,,
69,"Micah 5:15",,,,,,,,
70,"Micah 6:1",,,,,,,,
71,"Micah 6:2",,,,,,,,
72,"Micah 6:3",,,,,,,,
73,"Micah 6:4",,,,,,,,
74,"Micah 6:5",,,,,,,,
75,"Micah 6:6",,,,,,,,
76,"Micah 6:7",,,,,,,,
77,"Micah 6:8",,,,,,,,
78,"Micah 6:9",,,,,,,,
79,"Micah 6:10",,,,,,,,
80,"Micah 6:11",,,,,,,,
81,"Micah 6:12",,,,,,,,
82,"Micah 6:13",,,,,,,,
83,"Micah 6:14",,,,,,,,
84,"Micah 6:15",,,,,,,,
85,"Micah 6:16",,,,,,,,
86,"Micah 7:1",,,,,,,,
87,"Micah 7:2",,,,,,,,
88,"Micah 7:3",,,,,,,,
89,"Micah 7:4",,,,,,,,
90,"Micah 7:5",,,,,,,,
91,"Micah 7:6",,,,,,,,
92,"Micah 7:7",,,,,,,,
93,"Micah 7:8",,,,,,,,
94,"Micah 7:9",,,,,,,,
95,"Micah 7:10",,,,,,,,
96,"Micah 7:11",,,,,,,,
97,"Micah 7:12",,,,,,,,
98,"Micah 7:13",,,,,,,,
99,"Micah 7:14",,,,,,,,
100,"Micah 7:15",,,,,,,,
101,"Micah 7:16",,,,,,,,
102,"Micah 7:17",,,,,,,,
103,"Micah 7:18",,,,,,,,
104,"Micah 7:19",,,,,,,,
105,"Micah 7:20",,,,,,,,
