ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Numbers 1:1",,,,,,,,
2,"Numbers 1:2",,,,,,,,
3,"Numbers 1:3",,,,,,,,
4,"Numbers 1:4",,,,,,,,
5,"Numbers 1:5",,,,,,,,
6,"Numbers 1:6",,,,,,,,
7,"Numbers 1:7",,,,,,,,
8,"Numbers 1:8",,,,,,,,
9,"Numbers 1:9",,,,,,,,
10,"Numbers 1:10",,,,,,,,
11,"Numbers 1:11",,,,,,,,
12,"Numbers 1:12",,,,,,,,
13,"Numbers 1:13",,,,,,,,
14,"Numbers 1:14",,,,,,,,
15,"Numbers 1:15",,,,,,,,
16,"Numbers 1:16",,,,,,,,
17,"Numbers 1:17",,,,,,,,
18,"Numbers 1:18",,,,,,,,
19,"Numbers 1:19",,,,,,,,
20,"Numbers 1:20",,,,,,,,
21,"Numbers 1:21",,,,,,,,
22,"Numbers 1:22",,,,,,,,
23,"Numbers 1:23",,,,,,,,
24,"Numbers 1:24",,,,,,,,
25,"Numbers 1:25",,,,,,,,
26,"Numbers 1:26",,,,,,,,
27,"Numbers 1:27",,,,,,,,
28,"Numbers 1:28",,,,,,,,
29,"Numbers 1:29",,,,,,,,
30,"Numbers 1:30",,,,,,,,
31,"Numbers 1:31",,,,,,,,
32,"Numbers 1:32",,,,,,,,
33,"Numbers 1:33",,,,,,,,
34,"Numbers 1:34",,,,,,,,
35,"Numbers 1:35",,,,,,,,
36,"Numbers 1:36",,,,,,,,
37,"Numbers 1:37",,,,,,,,
38,"Numbers 1:38",,,,,,,,
39,"Numbers 1:39",,,,,,,,
40,"Numbers 1:40",,,,,,,,
41,"Numbers 1:41",,,,,,,,
42,"Numbers 1:42",,,,,,,,
43,"Numbers 1:43",,,,,,,,
44,"Numbers 1:44",,,,,,,,
45,"Numbers 1:45",,,,,,,,
46,"Numbers 1:46",,,,,,,,
47,"Numbers 1:47",,,,,,,,
48,"Numbers 1:48",,,,,,,,
49,"Numbers 1:49",,,,,,,,
50,"Numbers 1:50",,,,,,,,
51,"Numbers 1:51",,,,,,,,
52,"Numbers 1:52",,,,,,,,
53,"Numbers 1:53",,,,,,,,
54,"Numbers 1:54",,,,,,,,
55,"Numbers 2:1",,,,,,,,
56,"Numbers 2:2",,,,,,,,
57,"Numbers 2:3",,,,,,,,
58,"Numbers 2:4",,,,,,,,
59,"Numbers 2:5",,,,,,,,
60,"Numbers 2:6",,,,,,,,
61,"Numbers 2:7",,,,,,,,
62,"Numbers 2:8",,,,,,,,
63,"Numbers 2:9",,,,,,,,
64,"Numbers 2:10",,,,,,,,
65,"Numbers 2:11",,,,,,,,
66,"Numbers 2:12",,,,,,,,
67,"Numbers 2:13",,,,,,,,
68,"Numbers 2:14",,,,,,,,
69,"Numbers 2:15",,,,,,,,
70,"Numbers 2:16",,,,,,,,
