ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Obadiah 1:1",,,,,,,,
2,"Obadiah 1:2",,,,,,,,
3,"Obadiah 1:3",,,,,,,,
4,"Obadiah 1:4",,,,,,,,
5,"Obadiah 1:5",,,,,,,,
6,"Obadiah 1:6",,,,,,,,
7,"Obadiah 1:7",,,,,,,,
8,"Obadiah 1:8",,,,,,,,
9,"Obadiah 1:9",,,,,,,,
10,"Obadiah 1:10",,,,,,,,
11,"Obadiah 1:11",,,,,,,,
12,"Obadiah 1:12",,,,,,,,
13,"Obadiah 1:13",,,,,,,,
14,"Obadiah 1:14",,,,,,,,
15,"Obadiah 1:15",,,,,,,,
16,"Obadiah 1:16",,,,,,,,
17,"Obadiah 1:17",,,,,,,,
18,"Obadiah 1:18",,,,,,,,
19,"Obadiah 1:19",,,,,,,,
20,"Obadiah 1:20",,,,,,,,
21,"Obadiah 1:21",,,,,,,,
