ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Psalms 1:1","There is a person [who does not follow the advice of evil people]. This person does not stand on the path [that people [who live badly] walk on]. This (alt) person does not join other people [who live badly] [in order to live badly]. And this person does not sit in the seat of people [who laugh not kindly at other people and ideas]. And (alt) this person does not join other people [who laugh not kindly at other people and ideas] [in order to laugh not kindly at other people and ideas]. This person is happy.","~\wd ~\tg c-ABCDEFGHIJKLMNOP…….~\lu {~\wd ~\tg n-SpN.N……..~\lu (~\wd ~\tg j-SA….~\lu (~\wd ~\tg A-1AN…..~\lu foolish~\wd ~\tg ~\lu )~\wd ~\tg N-1A1PGAnK3NN……..~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S…..~\lu (~\wd ~\tg V-1CTUINAN……….~\lu think~\wd ~\tg ~\lu )~\wd ~\tg c-ABCDEFPIGHMLKNOJ…………..~\lu [~\wd ~\tg n-SpN.N……..~\lu (~\wd ~\tg N-1A2SDAnK3NN……..~\lu God~\wd ~\tg ~\lu )~\wd ~\tg v-S…..~\lu (~\wd ~\tg V-1APUINNN……….~\lu exist~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-ABCDEFPIGHMLKNOJ…………..~\lu {~\wd ~\tg n-SpN.N……..~\lu (~\wd ~\tg N-1A1PDAcK3PN……..~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S…..~\lu (~\wd ~\tg V-1DTUINAN……….~\lu be~\wd ~\tg ~\lu )~\wd ~\tg j-SP….~\lu (~\wd ~\tg A-1AN…..~\lu evil~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-ABCDEFPIGHMLKNOJ…………..~\lu {~\wd ~\tg C-1A…..~\lu and~\wd ~\tg n-SpN.N……..~\lu (~\wd ~\tg N-1A1PDAcK3PN……..~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S…..~\lu (~\wd ~\tg V-1ATUINAN……….~\lu do~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N……..~\lu (~\wd ~\tg j-SA….~\lu (~\wd ~\tg A-1AN…..~\lu terrible~\wd ~\tg ~\lu )~\wd ~\tg N-1B3PGAnK3NN……..~\lu thing~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-ABCDEFJGPIKLMNOH…………………~\lu {~\wd ~\tg n-SpN.N……..~\lu (~\wd ~\tg N-1A1PDAcK3PN……..~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S…..~\lu (~\wd ~\tg V-1ATUINN………~\lu do~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N……..~\lu (~\wd ~\tg j-SA….~\lu (~\wd ~\tg A-1AN…..~\lu good~\wd ~\tg ~\lu )~\wd ~\tg N-1B3PGAnK3NN……..~\lu thing~\wd ~\tg ~\lu )~\wd ~\tg d-S….~\lu (~\wd ~\tg a-1AN….~\lu never~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~|Aperson|Agod|Bthing|||||||||||||||||||||||||||||||||","  ",,,,,"Person/man - I don't know Hebrew. [] Used ""laugh not kindly [unkindly] at other people and ideas"" for ""scoff"", which could be a level 4 word. This definition is pretty much straight from LD. Could possibly be different arguments for ""laugh at"" in this explication, like ""other people and God"". [] Used ""not kindly"" for ""unkindly"".[] Used ""join"" with ""in order to"", but noticed that ""join"" is defined in our ontology as join people to do something. How about adding an optional ""to do"" argument? [] Could use ""in order to do the same thing"" if the current phrase will come out too wordy. [] Used ""happy"" for ""blessed"" and present tense. (I used the future for the Beatitudes, Luke 11, because some of the Beatitudes indicate present suffering.) [] ***Had to add ""advice"" (mass noun) and ""idea"", both of which are in the LDD*** Or ""peoples thoughts"" for ""ideas""."
2,"Psalms 1:2",,,"  ",,,,,
3,"Psalms 1:3",,,,,,,,
4,"Psalms 1:4",,,,,,,,
5,"Psalms 1:5",,,,,,,,
6,"Psalms 1:6",,,,,,,,
7,"Psalms 2:1",,,,,,,,
8,"Psalms 2:2",,,,,,,,
9,"Psalms 2:3",,,,,,,,
10,"Psalms 2:4",,,,,,,,
11,"Psalms 2:5",,,,,,,,
12,"Psalms 2:6",,,,,,,,
13,"Psalms 2:7",,,,,,,,
14,"Psalms 2:8",,,,,,,,
15,"Psalms 2:9",,,,,,,,
16,"Psalms 2:10",,,,,,,,
17,"Psalms 2:11",,,,,,,,
18,"Psalms 2:12",,,,,,,,
19,"Psalms 3:1",,,,,,,,
20,"Psalms 3:2",,,,,,,,
21,"Psalms 3:3",,,,,,,,
22,"Psalms 3:4",,,,,,,,
23,"Psalms 3:5",,,,,,,,
24,"Psalms 3:6",,,,,,,,
25,"Psalms 3:7",,,,,,,,
26,"Psalms 3:8",,,,,,,,
27,"Psalms 4:1",,,,,,,,
28,"Psalms 4:2",,,,,,,,
29,"Psalms 4:3",,,,,,,,
30,"Psalms 4:4",,,,,,,,
31,"Psalms 4:5",,,,,,,,
32,"Psalms 4:6",,,,,,,,
33,"Psalms 4:7",,,,,,,,
34,"Psalms 4:8",,,,,,,,
35,"Psalms 5:1",,,,,,,,
36,"Psalms 5:2",,,,,,,,
37,"Psalms 5:3",,,,,,,,
38,"Psalms 5:4",,,,,,,,
39,"Psalms 5:5",,,,,,,,
40,"Psalms 5:6",,,,,,,,
41,"Psalms 5:7",,,,,,,,
42,"Psalms 5:8",,,,,,,,
43,"Psalms 5:9",,,,,,,,
44,"Psalms 5:10",,,,,,,,
45,"Psalms 5:11",,,,,,,,
46,"Psalms 5:12",,,,,,,,
47,"Psalms 6:1",,,,,,,,
48,"Psalms 6:2",,,,,,,,
49,"Psalms 6:3",,,,,,,,
50,"Psalms 6:4",,,,,,,,
51,"Psalms 6:5",,,,,,,,
52,"Psalms 6:6",,,,,,,,
53,"Psalms 6:7",,,,,,,,
54,"Psalms 6:8",,,,,,,,
55,"Psalms 6:9",,,,,,,,
56,"Psalms 6:10",,,,,,,,
57,"Psalms 7:1",,,,,,,,
58,"Psalms 7:2",,,,,,,,
59,"Psalms 7:3",,,,,,,,
60,"Psalms 7:4",,,,,,,,
61,"Psalms 7:5",,,,,,,,
62,"Psalms 7:6",,,,,,,,
63,"Psalms 7:7",,,,,,,,
64,"Psalms 7:8",,,,,,,,
65,"Psalms 7:9",,,,,,,,
66,"Psalms 7:10",,,,,,,,
67,"Psalms 7:11",,,,,,,,
68,"Psalms 7:12",,,,,,,,
69,"Psalms 7:13",,,,,,,,
70,"Psalms 7:14",,,,,,,,
71,"Psalms 7:15",,,,,,,,
72,"Psalms 7:16",,,,,,,,
73,"Psalms 7:17",,,,,,,,
74,"Psalms 8:1",,,,,,,,
75,"Psalms 8:2",,,,,,,,
76,"Psalms 8:3",,,,,,,,
77,"Psalms 8:4",,,,,,,,
78,"Psalms 8:5",,,,,,,,
79,"Psalms 8:6",,,,,,,,
80,"Psalms 8:7",,,,,,,,
81,"Psalms 8:8",,,,,,,,
82,"Psalms 8:9",,,,,,,,
83,"Psalms 9:1",,,,,,,,
84,"Psalms 9:2",,,,,,,,
85,"Psalms 9:3",,,,,,,,
86,"Psalms 9:4",,,,,,,,
87,"Psalms 9:5",,,,,,,,
88,"Psalms 9:6",,,,,,,,
89,"Psalms 9:7",,,,,,,,
90,"Psalms 9:8",,,,,,,,
91,"Psalms 9:9",,,,,,,,
92,"Psalms 9:10",,,,,,,,
93,"Psalms 9:11",,,,,,,,
94,"Psalms 9:12",,,,,,,,
95,"Psalms 9:13",,,,,,,,
96,"Psalms 9:14",,,,,,,,
97,"Psalms 9:15",,,,,,,,
98,"Psalms 9:16",,,,,,,,
99,"Psalms 9:17",,,,,,,,
100,"Psalms 9:18",,,,,,,,
101,"Psalms 9:19",,,,,,,,
102,"Psalms 9:20",,,,,,,,
103,"Psalms 10:1",,,,,,,,
104,"Psalms 10:2",,,,,,,,
105,"Psalms 10:3",,,,,,,,
106,"Psalms 10:4",,,,,,,,
107,"Psalms 10:5",,,,,,,,
108,"Psalms 10:6",,,,,,,,
109,"Psalms 10:7",,,,,,,,
110,"Psalms 10:8",,,,,,,,
111,"Psalms 10:9",,,,,,,,
112,"Psalms 10:10",,,,,,,,
