ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Romans 1:1",,,,,,,,
2,"Romans 1:2",,,,,,,,
3,"Romans 1:3",,,,,,,,
4,"Romans 1:4",,,,,,,,
5,"Romans 1:5",,,,,,,,
6,"Romans 1:6",,,,,,,,
7,"Romans 1:7",,,,,,,,
8,"Romans 1:8",,,,,,,,
9,"Romans 1:9",,,,,,,,
10,"Romans 1:10",,,,,,,,
11,"Romans 1:11",,,,,,,,
12,"Romans 1:12",,,,,,,,
13,"Romans 1:13",,,,,,,,
14,"Romans 1:14",,,,,,,,
15,"Romans 1:15",,,,,,,,
16,"Romans 1:16",,,,,,,,
17,"Romans 1:17",,,,,,,,
18,"Romans 1:18",,,,,,,,
19,"Romans 1:19",,,,,,,,
20,"Romans 1:20",,,,,,,,
21,"Romans 1:21",,,,,,,,
22,"Romans 1:22",,,,,,,,
23,"Romans 1:23",,,,,,,,
24,"Romans 1:24",,,,,,,,
25,"Romans 1:25",,,,,,,,
26,"Romans 1:26",,,,,,,,
27,"Romans 1:27",,,,,,,,
28,"Romans 1:28",,,,,,,,
29,"Romans 1:29",,,,,,,,
30,"Romans 1:30",,,,,,,,
31,"Romans 1:31",,,,,,,,
32,"Romans 1:32",,,,,,,,
33,"Romans 2:1",,,,,,,,
34,"Romans 2:2",,,,,,,,
35,"Romans 2:3",,,,,,,,
36,"Romans 2:4",,,,,,,,
37,"Romans 2:5",,,,,,,,
38,"Romans 2:6",,,,,,,,
39,"Romans 2:7",,,,,,,,
40,"Romans 2:8",,,,,,,,
41,"Romans 2:9",,,,,,,,
42,"Romans 2:10",,,,,,,,
43,"Romans 2:11",,,,,,,,
44,"Romans 2:12",,,,,,,,
45,"Romans 2:13",,,,,,,,
46,"Romans 2:14",,,,,,,,
47,"Romans 2:15",,,,,,,,
48,"Romans 2:16",,,,,,,,
49,"Romans 2:17",,,,,,,,
50,"Romans 2:18",,,,,,,,
51,"Romans 2:19",,,,,,,,
52,"Romans 2:20",,,,,,,,
53,"Romans 2:21",,,,,,,,
54,"Romans 2:22",,,,,,,,
55,"Romans 2:23",,,,,,,,
56,"Romans 2:24",,,,,,,,
57,"Romans 2:25",,,,,,,,
58,"Romans 2:26",,,,,,,,
59,"Romans 2:27",,,,,,,,
60,"Romans 2:28",,,,,,,,
61,"Romans 2:29",,,,,,,,
62,"Romans 3:1",,,,,,,,
63,"Romans 3:2",,,,,,,,
64,"Romans 3:3",,,,,,,,
65,"Romans 3:4",,,,,,,,
66,"Romans 3:5",,,,,,,,
67,"Romans 3:6",,,,,,,,
68,"Romans 3:7",,,,,,,,
69,"Romans 3:8",,,,,,,,
70,"Romans 3:9",,,,,,,,
71,"Romans 3:10",,,,,,,,
72,"Romans 3:11",,,,,,,,
73,"Romans 3:12",,,,,,,,
74,"Romans 3:13",,,,,,,,
75,"Romans 3:14",,,,,,,,
76,"Romans 3:15",,,,,,,,
77,"Romans 3:16",,,,,,,,
78,"Romans 3:17",,,,,,,,
79,"Romans 3:18",,,,,,,,
80,"Romans 3:19",,,,,,,,
81,"Romans 3:20",,,,,,,,
82,"Romans 3:21",,,,,,,,
83,"Romans 3:22",,,,,,,,
84,"Romans 3:23",,,,,,,,
85,"Romans 3:24",,,,,,,,
86,"Romans 3:25",,,,,,,,
87,"Romans 3:26",,,,,,,,
88,"Romans 3:27",,,,,,,,
89,"Romans 3:28",,,,,,,,
90,"Romans 3:29",,,,,,,,
91,"Romans 3:30",,,,,,,,
92,"Romans 3:31",,,,,,,,
93,"Romans 4:1",,,,,,,,
94,"Romans 4:2",,,,,,,,
95,"Romans 4:3",,,,,,,,
96,"Romans 4:4",,,,,,,,
97,"Romans 4:5",,,,,,,,
98,"Romans 4:6",,,,,,,,
99,"Romans 4:7",,,,,,,,
100,"Romans 4:8",,,,,,,,
101,"Romans 4:9",,,,,,,,
102,"Romans 4:10",,,,,,,,
103,"Romans 4:11",,,,,,,,
104,"Romans 4:12",,,,,,,,
105,"Romans 4:13",,,,,,,,
106,"Romans 4:14",,,,,,,,
107,"Romans 4:15",,,,,,,,
108,"Romans 4:16",,,,,,,,
109,"Romans 4:17",,,,,,,,
110,"Romans 4:18",,,,,,,,
111,"Romans 4:19",,,,,,,,
112,"Romans 4:20",,,,,,,,
113,"Romans 4:21",,,,,,,,
114,"Romans 4:22",,,,,,,,
115,"Romans 4:23",,,,,,,,
116,"Romans 4:24",,,,,,,,
117,"Romans 4:25",,,,,,,,
118,"Romans 5:1",,,,,,,,
119,"Romans 5:2",,,,,,,,
120,"Romans 5:3",,,,,,,,
121,"Romans 5:4",,,,,,,,
122,"Romans 5:5",,,,,,,,
123,"Romans 5:6",,,,,,,,
124,"Romans 5:7",,,,,,,,
125,"Romans 5:8",,,,,,,,
126,"Romans 5:9",,,,,,,,
127,"Romans 5:10",,,,,,,,
128,"Romans 5:11",,,,,,,,
129,"Romans 5:12",,,,,,,,
130,"Romans 5:13",,,,,,,,
131,"Romans 5:14",,,,,,,,
132,"Romans 5:15",,,,,,,,
133,"Romans 5:16",,,,,,,,
134,"Romans 5:17",,,,,,,,
135,"Romans 5:18",,,,,,,,
136,"Romans 5:19",,,,,,,,
137,"Romans 5:20",,,,,,,,
138,"Romans 5:21",,,,,,,,
139,"Romans 6:1",,,,,,,,
140,"Romans 6:2",,,,,,,,
141,"Romans 6:3",,,,,,,,
142,"Romans 6:4",,,,,,,,
143,"Romans 6:5",,,,,,,,
144,"Romans 6:6",,,,,,,,
145,"Romans 6:7",,,,,,,,
146,"Romans 6:8",,,,,,,,
147,"Romans 6:9",,,,,,,,
148,"Romans 6:10",,,,,,,,
149,"Romans 6:11",,,,,,,,
150,"Romans 6:12",,,,,,,,
151,"Romans 6:13",,,,,,,,
152,"Romans 6:14",,,,,,,,
153,"Romans 6:15",,,,,,,,
154,"Romans 6:16",,,,,,,,
155,"Romans 6:17",,,,,,,,
156,"Romans 6:18",,,,,,,,
157,"Romans 6:19",,,,,,,,
158,"Romans 6:20",,,,,,,,
159,"Romans 6:21",,,,,,,,
160,"Romans 6:22",,,,,,,,
161,"Romans 6:23",,,,,,,,
162,"Romans 7:1",,,,,,,,
163,"Romans 7:2",,,,,,,,
164,"Romans 7:3",,,,,,,,
165,"Romans 7:4",,,,,,,,
166,"Romans 7:5",,,,,,,,
167,"Romans 7:6",,,,,,,,
168,"Romans 7:7",,,,,,,,
169,"Romans 7:8",,,,,,,,
170,"Romans 7:9",,,,,,,,
171,"Romans 7:10",,,,,,,,
172,"Romans 7:11",,,,,,,,
173,"Romans 7:12",,,,,,,,
174,"Romans 7:13",,,,,,,,
175,"Romans 7:14",,,,,,,,
176,"Romans 7:15",,,,,,,,
177,"Romans 7:16",,,,,,,,
178,"Romans 7:17",,,,,,,,
179,"Romans 7:18",,,,,,,,
180,"Romans 7:19",,,,,,,,
181,"Romans 7:20",,,,,,,,
182,"Romans 7:21",,,,,,,,
183,"Romans 7:22",,,,,,,,
184,"Romans 7:23",,,,,,,,
185,"Romans 7:24",,,,,,,,
186,"Romans 7:25",,,,,,,,
187,"Romans 8:1",,,,,,,,
188,"Romans 8:2",,,,,,,,
189,"Romans 8:3",,,,,,,,
190,"Romans 8:4",,,,,,,,
191,"Romans 8:5",,,,,,,,
192,"Romans 8:6",,,,,,,,
193,"Romans 8:7",,,,,,,,
194,"Romans 8:8",,,,,,,,
195,"Romans 8:9",,,,,,,,
196,"Romans 8:10",,,,,,,,
197,"Romans 8:11",,,,,,,,
198,"Romans 8:12",,,,,,,,
199,"Romans 8:13",,,,,,,,
200,"Romans 8:14",,,,,,,,
201,"Romans 8:15",,,,,,,,
202,"Romans 8:16",,,,,,,,
203,"Romans 8:17",,,,,,,,
204,"Romans 8:18",,,,,,,,
205,"Romans 8:19",,,,,,,,
206,"Romans 8:20",,,,,,,,
207,"Romans 8:21",,,,,,,,
208,"Romans 8:22",,,,,,,,
209,"Romans 8:23",,,,,,,,
210,"Romans 8:24",,,,,,,,
211,"Romans 8:25",,,,,,,,
212,"Romans 8:26",,,,,,,,
213,"Romans 8:27",,,,,,,,
214,"Romans 8:28",,,,,,,,
215,"Romans 8:29",,,,,,,,
216,"Romans 8:30",,,,,,,,
217,"Romans 8:31",,,,,,,,
218,"Romans 8:32",,,,,,,,
219,"Romans 8:33",,,,,,,,
220,"Romans 8:34",,,,,,,,
221,"Romans 8:35",,,,,,,,
222,"Romans 8:36",,,,,,,,
223,"Romans 8:37",,,,,,,,
224,"Romans 8:38",,,,,,,,
225,"Romans 8:39",,,,,,,,
226,"Romans 9:1",,,,,,,,
227,"Romans 9:2",,,,,,,,
228,"Romans 9:3",,,,,,,,
229,"Romans 9:4",,,,,,,,
230,"Romans 9:5",,,,,,,,
231,"Romans 9:6",,,,,,,,
232,"Romans 9:7",,,,,,,,
233,"Romans 9:8",,,,,,,,
234,"Romans 9:9",,,,,,,,
235,"Romans 9:10",,,,,,,,
236,"Romans 9:11",,,,,,,,
237,"Romans 9:12",,,,,,,,
238,"Romans 9:13",,,,,,,,
239,"Romans 9:14",,,,,,,,
240,"Romans 9:15",,,,,,,,
241,"Romans 9:16",,,,,,,,
242,"Romans 9:17",,,,,,,,
243,"Romans 9:18",,,,,,,,
244,"Romans 9:19",,,,,,,,
245,"Romans 9:20",,,,,,,,
246,"Romans 9:21",,,,,,,,
247,"Romans 9:22",,,,,,,,
248,"Romans 9:23",,,,,,,,
249,"Romans 9:24",,,,,,,,
250,"Romans 9:25",,,,,,,,
251,"Romans 9:26",,,,,,,,
252,"Romans 9:27",,,,,,,,
253,"Romans 9:28",,,,,,,,
254,"Romans 9:29",,,,,,,,
255,"Romans 9:30",,,,,,,,
256,"Romans 9:31",,,,,,,,
257,"Romans 9:32",,,,,,,,
258,"Romans 9:33",,,,,,,,
259,"Romans 10:1",,,,,,,,
260,"Romans 10:2",,,,,,,,
261,"Romans 10:3",,,,,,,,
262,"Romans 10:4",,,,,,,,
263,"Romans 10:5",,,,,,,,
264,"Romans 10:6",,,,,,,,
265,"Romans 10:7",,,,,,,,
266,"Romans 10:8",,,,,,,,
267,"Romans 10:9",,,,,,,,
268,"Romans 10:10",,,,,,,,
269,"Romans 10:11",,,,,,,,
270,"Romans 10:12",,,,,,,,
271,"Romans 10:13",,,,,,,,
272,"Romans 10:14",,,,,,,,
273,"Romans 10:15",,,,,,,,
274,"Romans 10:16",,,,,,,,
275,"Romans 10:17",,,,,,,,
276,"Romans 10:18",,,,,,,,
277,"Romans 10:19",,,,,,,,
278,"Romans 10:20",,,,,,,,
279,"Romans 10:21",,,,,,,,
280,"Romans 11:1",,,,,,,,
281,"Romans 11:2",,,,,,,,
282,"Romans 11:3",,,,,,,,
283,"Romans 11:4",,,,,,,,
284,"Romans 11:5",,,,,,,,
285,"Romans 11:6",,,,,,,,
286,"Romans 11:7",,,,,,,,
287,"Romans 11:8",,,,,,,,
288,"Romans 11:9",,,,,,,,
289,"Romans 11:10",,,,,,,,
290,"Romans 11:11",,,,,,,,
291,"Romans 11:12",,,,,,,,
292,"Romans 11:13",,,,,,,,
293,"Romans 11:14",,,,,,,,
294,"Romans 11:15",,,,,,,,
295,"Romans 11:16",,,,,,,,
296,"Romans 11:17",,,,,,,,
297,"Romans 11:18",,,,,,,,
298,"Romans 11:19",,,,,,,,
299,"Romans 11:20",,,,,,,,
300,"Romans 11:21",,,,,,,,
301,"Romans 11:22",,,,,,,,
302,"Romans 11:23",,,,,,,,
303,"Romans 11:24",,,,,,,,
304,"Romans 11:25",,,,,,,,
305,"Romans 11:26",,,,,,,,
306,"Romans 11:27",,,,,,,,
307,"Romans 11:28",,,,,,,,
308,"Romans 11:29",,,,,,,,
309,"Romans 11:30",,,,,,,,
310,"Romans 11:31",,,,,,,,
311,"Romans 11:32",,,,,,,,
312,"Romans 11:33",,,,,,,,
313,"Romans 11:34",,,,,,,,
314,"Romans 11:35",,,,,,,,
315,"Romans 11:36",,,,,,,,
316,"Romans 12:1",,,,,,,,
317,"Romans 12:2",,,,,,,,
318,"Romans 12:3",,,,,,,,
319,"Romans 12:4",,,,,,,,
320,"Romans 12:5",,,,,,,,
321,"Romans 12:6",,,,,,,,
322,"Romans 12:7",,,,,,,,
323,"Romans 12:8",,,,,,,,
324,"Romans 12:9",,,,,,,,
325,"Romans 12:10",,,,,,,,
326,"Romans 12:11",,,,,,,,
327,"Romans 12:12",,,,,,,,
328,"Romans 12:13",,,,,,,,
329,"Romans 12:14",,,,,,,,
330,"Romans 12:15",,,,,,,,
331,"Romans 12:16",,,,,,,,
332,"Romans 12:17",,,,,,,,
333,"Romans 12:18",,,,,,,,
334,"Romans 12:19",,,,,,,,
335,"Romans 12:20",,,,,,,,
336,"Romans 12:21",,,,,,,,
337,"Romans 13:1",,,,,,,,
338,"Romans 13:2",,,,,,,,
339,"Romans 13:3",,,,,,,,
340,"Romans 13:4",,,,,,,,
341,"Romans 13:5",,,,,,,,
342,"Romans 13:6",,,,,,,,
343,"Romans 13:7",,,,,,,,
344,"Romans 13:8",,,,,,,,
345,"Romans 13:9",,,,,,,,
346,"Romans 13:10",,,,,,,,
347,"Romans 13:11",,,,,,,,
348,"Romans 13:12",,,,,,,,
349,"Romans 13:13",,,,,,,,
350,"Romans 13:14",,,,,,,,
351,"Romans 14:1",,,,,,,,
352,"Romans 14:2",,,,,,,,
353,"Romans 14:3",,,,,,,,
354,"Romans 14:4",,,,,,,,
355,"Romans 14:5",,,,,,,,
356,"Romans 14:6",,,,,,,,
357,"Romans 14:7",,,,,,,,
358,"Romans 14:8",,,,,,,,
359,"Romans 14:9",,,,,,,,
360,"Romans 14:10",,,,,,,,
361,"Romans 14:11",,,,,,,,
362,"Romans 14:12",,,,,,,,
363,"Romans 14:13",,,,,,,,
364,"Romans 14:14",,,,,,,,
365,"Romans 14:15",,,,,,,,
366,"Romans 14:16",,,,,,,,
367,"Romans 14:17",,,,,,,,
368,"Romans 14:18",,,,,,,,
369,"Romans 14:19",,,,,,,,
370,"Romans 14:20",,,,,,,,
371,"Romans 14:21",,,,,,,,
372,"Romans 14:22",,,,,,,,
373,"Romans 14:23",,,,,,,,
374,"Romans 15:1",,,,,,,,
375,"Romans 15:2",,,,,,,,
376,"Romans 15:3",,,,,,,,
377,"Romans 15:4",,,,,,,,
378,"Romans 15:5",,,,,,,,
379,"Romans 15:6",,,,,,,,
380,"Romans 15:7",,,,,,,,
381,"Romans 15:8",,,,,,,,
382,"Romans 15:9",,,,,,,,
383,"Romans 15:10",,,,,,,,
384,"Romans 15:11",,,,,,,,
385,"Romans 15:12",,,,,,,,
386,"Romans 15:13",,,,,,,,
387,"Romans 15:14",,,,,,,,
388,"Romans 15:15",,,,,,,,
389,"Romans 15:16",,,,,,,,
390,"Romans 15:17",,,,,,,,
391,"Romans 15:18",,,,,,,,
392,"Romans 15:19",,,,,,,,
393,"Romans 15:20",,,,,,,,
394,"Romans 15:21",,,,,,,,
395,"Romans 15:22",,,,,,,,
396,"Romans 15:23",,,,,,,,
397,"Romans 15:24",,,,,,,,
398,"Romans 15:25",,,,,,,,
399,"Romans 15:26",,,,,,,,
400,"Romans 15:27",,,,,,,,
401,"Romans 15:28",,,,,,,,
402,"Romans 15:29",,,,,,,,
403,"Romans 15:30",,,,,,,,
404,"Romans 15:31",,,,,,,,
405,"Romans 15:32",,,,,,,,
406,"Romans 15:33",,,,,,,,
407,"Romans 16:1",,,,,,,,
408,"Romans 16:2",,,,,,,,
409,"Romans 16:3",,,,,,,,
410,"Romans 16:4",,,,,,,,
411,"Romans 16:5",,,,,,,,
412,"Romans 16:6",,,,,,,,
413,"Romans 16:7",,,,,,,,
414,"Romans 16:8",,,,,,,,
415,"Romans 16:9",,,,,,,,
416,"Romans 16:10",,,,,,,,
417,"Romans 16:11",,,,,,,,
418,"Romans 16:12",,,,,,,,
419,"Romans 16:13",,,,,,,,
420,"Romans 16:14",,,,,,,,
421,"Romans 16:15",,,,,,,,
422,"Romans 16:16",,,,,,,,
423,"Romans 16:17",,,,,,,,
424,"Romans 16:18",,,,,,,,
425,"Romans 16:19",,,,,,,,
426,"Romans 16:20",,,,,,,,
427,"Romans 16:21",,,,,,,,
428,"Romans 16:22",,,,,,,,
429,"Romans 16:23",,,,,,,,
430,"Romans 16:24",,,,,,,,
431,"Romans 16:25",,,,,,,,
