ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Song of Solomon 1:1",,,,,,,,
2,"Song of Solomon 1:2",,,,,,,,
3,"Song of Solomon 1:3",,,,,,,,
4,"Song of Solomon 1:4",,,,,,,,
5,"Song of Solomon 1:5",,,,,,,,
6,"Song of Solomon 1:6",,,,,,,,
7,"Song of Solomon 1:7",,,,,,,,
8,"Song of Solomon 1:8",,,,,,,,
9,"Song of Solomon 1:9",,,,,,,,
10,"Song of Solomon 1:10",,,,,,,,
11,"Song of Solomon 1:11",,,,,,,,
12,"Song of Solomon 1:12",,,,,,,,
13,"Song of Solomon 1:13",,,,,,,,
14,"Song of Solomon 1:14",,,,,,,,
15,"Song of Solomon 1:15",,,,,,,,
16,"Song of Solomon 1:16",,,,,,,,
17,"Song of Solomon 1:17",,,,,,,,
18,"Song of Solomon 2:1",,,,,,,,
19,"Song of Solomon 2:2",,,,,,,,
20,"Song of Solomon 2:3",,,,,,,,
21,"Song of Solomon 2:4",,,,,,,,
22,"Song of Solomon 2:5",,,,,,,,
23,"Song of Solomon 2:6",,,,,,,,
24,"Song of Solomon 2:7",,,,,,,,
25,"Song of Solomon 2:8",,,,,,,,
26,"Song of Solomon 2:9",,,,,,,,
27,"Song of Solomon 2:10",,,,,,,,
28,"Song of Solomon 2:11",,,,,,,,
29,"Song of Solomon 2:12",,,,,,,,
30,"Song of Solomon 2:13",,,,,,,,
31,"Song of Solomon 2:14",,,,,,,,
32,"Song of Solomon 2:15",,,,,,,,
33,"Song of Solomon 2:16",,,,,,,,
34,"Song of Solomon 2:17",,,,,,,,
35,"Song of Solomon 3:1",,,,,,,,
36,"Song of Solomon 3:2",,,,,,,,
37,"Song of Solomon 3:3",,,,,,,,
38,"Song of Solomon 3:4",,,,,,,,
39,"Song of Solomon 3:5",,,,,,,,
40,"Song of Solomon 3:6",,,,,,,,
41,"Song of Solomon 3:7",,,,,,,,
42,"Song of Solomon 3:8",,,,,,,,
43,"Song of Solomon 3:9",,,,,,,,
44,"Song of Solomon 3:10",,,,,,,,
45,"Song of Solomon 3:11",,,,,,,,
46,"Song of Solomon 4:1",,,,,,,,
47,"Song of Solomon 4:2",,,,,,,,
48,"Song of Solomon 4:3",,,,,,,,
49,"Song of Solomon 4:4",,,,,,,,
50,"Song of Solomon 4:5",,,,,,,,
51,"Song of Solomon 4:6",,,,,,,,
52,"Song of Solomon 4:7",,,,,,,,
53,"Song of Solomon 4:8",,,,,,,,
54,"Song of Solomon 4:9",,,,,,,,
55,"Song of Solomon 4:10",,,,,,,,
56,"Song of Solomon 4:11",,,,,,,,
57,"Song of Solomon 4:12",,,,,,,,
58,"Song of Solomon 4:13",,,,,,,,
59,"Song of Solomon 4:14",,,,,,,,
60,"Song of Solomon 4:15",,,,,,,,
61,"Song of Solomon 4:16",,,,,,,,
62,"Song of Solomon 5:1",,,,,,,,
63,"Song of Solomon 5:2",,,,,,,,
64,"Song of Solomon 5:3",,,,,,,,
65,"Song of Solomon 5:4",,,,,,,,
66,"Song of Solomon 5:5",,,,,,,,
67,"Song of Solomon 5:6",,,,,,,,
68,"Song of Solomon 5:7",,,,,,,,
69,"Song of Solomon 5:8",,,,,,,,
70,"Song of Solomon 5:9",,,,,,,,
71,"Song of Solomon 5:10",,,,,,,,
72,"Song of Solomon 5:11",,,,,,,,
73,"Song of Solomon 5:12",,,,,,,,
74,"Song of Solomon 5:13",,,,,,,,
75,"Song of Solomon 5:14",,,,,,,,
76,"Song of Solomon 5:15",,,,,,,,
77,"Song of Solomon 5:16",,,,,,,,
78,"Song of Solomon 6:1",,,,,,,,
79,"Song of Solomon 6:2",,,,,,,,
80,"Song of Solomon 6:3",,,,,,,,
81,"Song of Solomon 6:4",,,,,,,,
82,"Song of Solomon 6:5",,,,,,,,
83,"Song of Solomon 6:6",,,,,,,,
84,"Song of Solomon 6:7",,,,,,,,
85,"Song of Solomon 6:8",,,,,,,,
86,"Song of Solomon 6:9",,,,,,,,
87,"Song of Solomon 6:10",,,,,,,,
88,"Song of Solomon 6:11",,,,,,,,
89,"Song of Solomon 6:12",,,,,,,,
90,"Song of Solomon 6:13",,,,,,,,
91,"Song of Solomon 7:1",,,,,,,,
92,"Song of Solomon 7:2",,,,,,,,
93,"Song of Solomon 7:3",,,,,,,,
94,"Song of Solomon 7:4",,,,,,,,
95,"Song of Solomon 7:5",,,,,,,,
96,"Song of Solomon 7:6",,,,,,,,
97,"Song of Solomon 7:7",,,,,,,,
98,"Song of Solomon 7:8",,,,,,,,
99,"Song of Solomon 7:9",,,,,,,,
100,"Song of Solomon 7:10",,,,,,,,
101,"Song of Solomon 7:11",,,,,,,,
102,"Song of Solomon 7:12",,,,,,,,
103,"Song of Solomon 7:13",,,,,,,,
104,"Song of Solomon 8:1",,,,,,,,
105,"Song of Solomon 8:2",,,,,,,,
106,"Song of Solomon 8:3",,,,,,,,
107,"Song of Solomon 8:4",,,,,,,,
108,"Song of Solomon 8:5",,,,,,,,
109,"Song of Solomon 8:6",,,,,,,,
110,"Song of Solomon 8:7",,,,,,,,
111,"Song of Solomon 8:8",,,,,,,,
112,"Song of Solomon 8:9",,,,,,,,
113,"Song of Solomon 8:10",,,,,,,,
114,"Song of Solomon 8:11",,,,,,,,
115,"Song of Solomon 8:12",,,,,,,,
116,"Song of Solomon 8:13",,,,,,,,
117,"Song of Solomon 8:14",,,,,,,,
