ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Zechariah 1:1",,,,,,,,
2,"Zechariah 1:2",,,,,,,,
3,"Zechariah 1:3",,,,,,,,
4,"Zechariah 1:4",,,,,,,,
5,"Zechariah 1:5",,,,,,,,
6,"Zechariah 1:6",,,,,,,,
7,"Zechariah 1:7",,,,,,,,
8,"Zechariah 1:8",,,,,,,,
9,"Zechariah 1:9",,,,,,,,
10,"Zechariah 1:10",,,,,,,,
11,"Zechariah 1:11",,,,,,,,
12,"Zechariah 1:12",,,,,,,,
13,"Zechariah 1:13",,,,,,,,
14,"Zechariah 1:14",,,,,,,,
15,"Zechariah 1:15",,,,,,,,
16,"Zechariah 1:16",,,,,,,,
17,"Zechariah 1:17",,,,,,,,
18,"Zechariah 1:18",,,,,,,,
19,"Zechariah 1:19",,,,,,,,
20,"Zechariah 1:20",,,,,,,,
21,"Zechariah 1:21",,,,,,,,
22,"Zechariah 2:1",,,,,,,,
23,"Zechariah 2:2",,,,,,,,
24,"Zechariah 2:3",,,,,,,,
25,"Zechariah 2:4",,,,,,,,
26,"Zechariah 2:5",,,,,,,,
27,"Zechariah 2:6",,,,,,,,
28,"Zechariah 2:7",,,,,,,,
29,"Zechariah 2:8",,,,,,,,
30,"Zechariah 2:9",,,,,,,,
31,"Zechariah 2:10",,,,,,,,
32,"Zechariah 2:11",,,,,,,,
33,"Zechariah 2:12",,,,,,,,
34,"Zechariah 2:13",,,,,,,,
35,"Zechariah 3:1",,,,,,,,
36,"Zechariah 3:2",,,,,,,,
37,"Zechariah 3:3",,,,,,,,
38,"Zechariah 3:4",,,,,,,,
39,"Zechariah 3:5",,,,,,,,
40,"Zechariah 3:6",,,,,,,,
41,"Zechariah 3:7",,,,,,,,
42,"Zechariah 3:8",,,,,,,,
43,"Zechariah 3:9",,,,,,,,
44,"Zechariah 3:10",,,,,,,,
45,"Zechariah 4:1",,,,,,,,
46,"Zechariah 4:2",,,,,,,,
47,"Zechariah 4:3",,,,,,,,
48,"Zechariah 4:4",,,,,,,,
49,"Zechariah 4:5",,,,,,,,
50,"Zechariah 4:6",,,,,,,,
51,"Zechariah 4:7",,,,,,,,
52,"Zechariah 4:8",,,,,,,,
53,"Zechariah 4:9",,,,,,,,
54,"Zechariah 4:10",,,,,,,,
55,"Zechariah 4:11",,,,,,,,
56,"Zechariah 4:12",,,,,,,,
57,"Zechariah 4:13",,,,,,,,
58,"Zechariah 4:14",,,,,,,,
59,"Zechariah 5:1",,,,,,,,
60,"Zechariah 5:2",,,,,,,,
61,"Zechariah 5:3",,,,,,,,
62,"Zechariah 5:4",,,,,,,,
63,"Zechariah 5:5",,,,,,,,
64,"Zechariah 5:6",,,,,,,,
65,"Zechariah 5:7",,,,,,,,
66,"Zechariah 5:8",,,,,,,,
67,"Zechariah 5:9",,,,,,,,
68,"Zechariah 5:10",,,,,,,,
69,"Zechariah 5:11",,,,,,,,
70,"Zechariah 6:1",,,,,,,,
71,"Zechariah 6:2",,,,,,,,
72,"Zechariah 6:3",,,,,,,,
73,"Zechariah 6:4",,,,,,,,
74,"Zechariah 6:5",,,,,,,,
75,"Zechariah 6:6",,,,,,,,
76,"Zechariah 6:7",,,,,,,,
77,"Zechariah 6:8",,,,,,,,
78,"Zechariah 6:9",,,,,,,,
79,"Zechariah 6:10",,,,,,,,
80,"Zechariah 6:11",,,,,,,,
81,"Zechariah 6:12",,,,,,,,
82,"Zechariah 6:13",,,,,,,,
83,"Zechariah 6:14",,,,,,,,
84,"Zechariah 6:15",,,,,,,,
85,"Zechariah 7:1",,,,,,,,
86,"Zechariah 7:2",,,,,,,,
87,"Zechariah 7:3",,,,,,,,
88,"Zechariah 7:4",,,,,,,,
89,"Zechariah 7:5",,,,,,,,
90,"Zechariah 7:6",,,,,,,,
91,"Zechariah 7:7",,,,,,,,
92,"Zechariah 7:8",,,,,,,,
93,"Zechariah 7:9",,,,,,,,
94,"Zechariah 7:10",,,,,,,,
95,"Zechariah 7:11",,,,,,,,
96,"Zechariah 7:12",,,,,,,,
97,"Zechariah 7:13",,,,,,,,
98,"Zechariah 7:14",,,,,,,,
99,"Zechariah 8:1",,,,,,,,
100,"Zechariah 8:2",,,,,,,,
101,"Zechariah 8:3",,,,,,,,
102,"Zechariah 8:4",,,,,,,,
103,"Zechariah 8:5",,,,,,,,
104,"Zechariah 8:6",,,,,,,,
105,"Zechariah 8:7",,,,,,,,
106,"Zechariah 8:8",,,,,,,,
107,"Zechariah 8:9",,,,,,,,
108,"Zechariah 8:10",,,,,,,,
109,"Zechariah 8:11",,,,,,,,
110,"Zechariah 8:12",,,,,,,,
111,"Zechariah 8:13",,,,,,,,
112,"Zechariah 8:14",,,,,,,,
113,"Zechariah 8:15",,,,,,,,
114,"Zechariah 8:16",,,,,,,,
115,"Zechariah 8:17",,,,,,,,
116,"Zechariah 8:18",,,,,,,,
117,"Zechariah 8:19",,,,,,,,
118,"Zechariah 8:20",,,,,,,,
119,"Zechariah 8:21",,,,,,,,
120,"Zechariah 8:22",,,,,,,,
121,"Zechariah 8:23",,,,,,,,
122,"Zechariah 9:1",,,,,,,,
