ID,SyntacticCategory,FeatureName,OriginalName,FeatureValues,OriginalValues,ColumnWidth,FeatureExamples,OriginalExamples,NumberOfOriginalValues,HideFeature
1,1,"Number","Number","Singular/S|Dual/D|Trial/T|Quadrial/Q|Paucal/p|Plural/P|","Singular/S|Dual/D|Trial/T|Quadrial/Q|Paucal/p|Plural/P|",60,"||||","||||","5",0
2,1,"Participant Tracking","Participant Tracking","First Mention/I|Routine/D|Integration/i|Exiting/E|Restaging/R|Offstage/O|Generic/G|Interrogative/Q|Frame Inferable/F|","First Mention/I|Routine/D|Integration/i|Exiting/E|Restaging/R|Offstage/O|Generic/G|Interrogative/Q|Frame Inferable/F|",110,"<BLD>A<> book is on the table.|<BLD>The<> book is on the table.|||||God created <BLD>men and women<>.|<BLD>Which book<> did John read?|I bought a car.  <BLD>The steering wheel<> was broken.|","<BLD>A<> book is on the table.|<BLD>The<> book is on the table.|||||God created <BLD>men and women<>.|<BLD>Which book<> did John read?|I bought a car.  <BLD>The steering wheel<> was broken.|","9",0
3,1,"Polarity","Polarity","Affirmative/A|Negative/N|","Affirmative/A|Negative/N|",70,"<BLD>A man<> hunted a bear.|<BLD>No man<> has seen God.|","<BLD>A man<> hunted a bear.|<BLD>No man<> has seen God.|","2",0
4,1,"Proximity","Proximity","Not Applicable/n|Near Speaker and Listener/N|Near Speaker/S|Near Listener/L|Remote within Sight/R|Remote out of Sight/r|Temporally Near/T|Temporally Remote/t|Contextually Near with Focus/C|Contextually Near/c|","Not Applicable/n|Near Speaker and Listener/N|Near Speaker/S|Near Listener/L|Remote within Sight/R|Remote out of Sight/r|Temporally Near/T|Temporally Remote/t|Contextually Near with Focus/C|Contextually Near/c|",154,,,"6",0
5,1,"Future Expansion","Future Expansion","Unspecified/K|","Unspecified/K|",0,,,"0",1
9,1,"Spare 1","Spare 1","Unspecified/.|","Unspecified/.|",0,,,"0",1
10,1,"Spare 2","Spare 2","Unspecified/.|","Unspecified/.|",0,,,"0",1
11,1,"Spare 3","Spare 3","Unspecified/.|","Unspecified/.|",0,,,"0",1
12,1,"Spare 4","Spare 4","Unspecified/.|","Unspecified/.|",0,,,"0",1
13,1,"Spare 5","Spare 5","Unspecified/.|","Unspecified/.|",0,,,"0",1
14,1,"Spare 6","Spare 6","Unspecified/.|","Unspecified/.|",0,,,"0",1
15,1,"Spare 7","Spare 7","Unspecified/.|","Unspecified/.|",0,,,"0",1
16,1,"Spare 8","Spare 8","Unspecified/.|","Unspecified/.|",0,,,"0",1
